gene,condition,n_downstream,ontarget_significant,donor_corr_hits_mean,donor_corr_all_mean,donor_corr_hits_min,n_cells,rank_n_downstream,donor_robust
ERGIC3,Stim8hr,155,True,0.2290478302264188,0.039524132833424,0.1369308540526626,2917.0,1128,False
GINM1,Stim8hr,154,True,0.8297464299655112,0.1398344333343088,0.8203105290651712,194.0,1130,True
ZSCAN25,Rest,154,True,0.8399618596025586,0.168925071686302,0.8319243482438629,394.0,1130,True
MOSPD1,Rest,153,True,0.8465544718513872,0.1508096255171554,0.8304752511791517,342.0,1134,True
UBIAD1,Stim48hr,153,True,0.8410037715402737,0.0682099744361978,0.8293029994705161,431.0,1134,True
CTH,Stim48hr,153,True,0.8210006447243853,0.0867160039942233,0.7664033962612554,753.0,1134,True
SNRPB2,Stim8hr,153,True,0.6093219089970504,0.0907234773835596,0.4677817086138224,386.0,1134,False
ARF4,Stim8hr,153,True,0.8016634912354585,0.10675116102406,0.776344623851608,264.0,1134,True
SAP30,Stim48hr,152,True,0.819140798145168,0.1690151116111322,0.76721951807206,461.0,1140,True
POLRMT,Stim48hr,152,True,0.8452765665138099,0.0770754803298972,0.8078154779766568,174.0,1140,True
NDUFB6,Stim48hr,152,True,0.8160008011276866,0.0609873225737779,0.7811087861319698,797.0,1140,True
C11orf68,Stim48hr,152,True,0.5311161897643927,0.0398438126986281,0.5007547778281207,468.0,1140,True
UQCC1,Stim8hr,152,True,0.5866953637273246,0.0980464929765592,0.5279007303030443,282.0,1140,True
FBF1,Rest,152,True,0.2897480334223221,-0.0518962427532763,0.0689324283891849,195.0,1140,False
MCUR1,Stim48hr,152,True,0.7907212630008823,0.108201824060538,0.6685277756339414,898.0,1140,True
LSS,Stim48hr,152,True,0.7804294114848936,0.0999439189343886,0.7534747675283212,165.0,1140,True
SPSB3,Rest,151,True,0.7839952813417735,0.1096021392495168,0.7587063208276535,77.0,1146,True
SNUPN,Rest,151,True,0.1731725893295059,0.0529649700968084,-0.532513896994142,54.0,1146,False
