gene,condition,row,source,regulator_class,regpower_eb_mean,n_downstream,cluster,program_label,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
BHLHE40,Stim8hr,2881,global,global,1.711,1996,9,mixed,-35.3122,2.9083,-13.2419,-11.2945,6.0879,-5.4614,-10.3239,9.8988,5.6132,-2.8464
HCCS,Stim8hr,11980,global,global,1.7063,1372,10,mixed,-5.8582,-7.334,11.4869,-2.2535,2.263,-1.5941,8.513,1.3352,-1.1121,-0.9196
RTRAF,Stim8hr,24229,global,global,1.7047,2286,10,mixed,-10.6643,-16.0843,22.6154,11.7529,30.7823,-0.4002,3.9837,2.7387,0.8299,-3.4553
STIP1,Stim48hr,27261,global,global,1.7019,1445,9,mixed,-5.4023,10.1427,-10.6568,-12.2644,-10.6274,3.8958,12.7945,0.6163,-5.4043,-4.8292
BRPF1,Stim8hr,3116,global,global,1.6936,1787,2,mixed,2.9389,-0.4481,-0.9285,0.1177,-1.7004,1.4533,-7.1138,6.8266,-13.8712,-4.4528
PDCL,Stim48hr,20166,global,global,1.6932,1501,9,mixed,-31.4952,5.5302,-9.2835,-6.6855,12.8402,-3.6047,1.6555,1.9888,5.273,-5.8138
NCOR1,Stim48hr,18204,global,global,1.6885,2006,9,mixed,-5.8929,-5.5767,-9.3525,3.6748,-15.9746,4.2853,-7.833,-6.7086,-4.945,8.3991
GATA3,Stim48hr,10723,global,global,1.6843,1252,9,mixed,-12.0441,5.2608,-12.4636,-13.2879,0.8089,1.205,5.084,3.5742,8.2522,-4.6667
NCAPG2,Stim8hr,18139,global,global,1.6787,1696,2,TCR signaling,22.6865,2.5174,2.2603,10.6451,-7.0594,6.8997,1.7572,-0.6862,-0.1886,-0.1326
PRKAR1A,Stim8hr,21951,global,global,1.6775,1390,10,mixed,-4.5034,-12.8515,18.2197,6.7601,-3.1638,1.6225,8.1493,-0.5239,0.2083,-3.058
TRAF3,Stim8hr,29688,global,global,1.6762,1625,1,mixed,0.7587,-0.6751,1.8223,1.8014,-2.5975,10.9885,15.2081,-7.9997,3.9955,6.7832
PAXIP1,Stim48hr,19979,global,global,1.6749,1240,9,mixed,-22.383,13.9501,-4.3101,-8.2242,5.0462,-7.0742,0.0166,3.6871,-0.3912,0.8613
NCKAP1L,Rest,18170,context-specific,condition-specific,1.7972,2946,9,mixed,-38.2433,15.6441,-2.5973,21.7611,-4.3285,11.4409,7.6702,2.1776,0.8776,1.7662
DOP1B,Stim48hr,7815,context-specific,condition-specific,1.7578,3240,9,mixed,-31.0771,13.7463,-10.8331,-4.8782,8.7312,-4.9482,5.8184,3.887,3.5751,-6.9453
POGLUT3,Stim8hr,14289,context-specific,condition-specific,1.7046,2476,2,Mediator/transcription,19.7906,10.0505,19.2017,1.088,-2.5541,-14.7552,-10.628,4.1735,8.7133,1.2833
ZAP70,Stim8hr,31840,context-specific,condition-specific,1.6234,5021,2,TCR signaling,101.6755,-6.288,-34.1134,6.5731,4.0722,-10.1578,5.3591,-0.8093,5.717,-6.5414
TFAM,Stim48hr,28271,context-specific,condition-specific,1.5767,2960,3,mixed,14.1432,-21.2442,10.3365,-22.1225,8.1543,9.3512,17.5308,10.9176,0.2709,4.5516
LCK,Stim8hr,15018,context-specific,condition-specific,1.537,2413,2,TCR signaling,47.8723,-13.8085,-17.0136,6.0677,2.2283,-9.7764,-0.3239,1.9592,-0.9524,-3.0425
ATXN7L3,Stim8hr,2460,context-specific,condition-specific,1.4847,1941,2,mixed,9.3405,-2.6054,1.8273,4.4375,-2.8224,0.0436,-0.1942,6.251,-11.6888,-13.0815
EIF4G1,Stim8hr,8484,context-specific,condition-specific,1.4238,1678,10,mixed,-1.0405,-13.6925,19.54,6.3353,6.1755,-8.8504,2.6858,0.4865,-3.1752,-8.0371
SIK3,Stim48hr,25316,context-specific,condition-specific,1.4228,1809,2,mixed,14.8459,-3.6667,-6.7868,-6.3574,-20.5735,5.9476,1.2813,-4.3939,-8.0215,6.148
GPI,Stim48hr,11417,context-specific,condition-specific,1.419,1779,5,mixed,4.3271,-5.5929,-13.6393,-14.1768,-18.8796,2.6379,-5.7464,-11.7738,-5.1618,-0.2355
CLCC1,Stim48hr,5577,context-specific,condition-specific,1.351,1731,2,TCR signaling,17.4561,-12.1305,0.0869,-0.7262,-8.559,4.664,-0.1055,-5.532,-4.1156,2.7676
TP53INP2,Stim48hr,29570,context-specific,condition-specific,1.3465,1692,4,mixed,-6.0384,1.3041,-3.0396,-3.2777,-2.9894,-5.1611,16.3397,-23.1425,7.9726,-13.8007
