target_contrast,target_contrast_gene_name,culture_condition,single_guide_estimate,n_guides,guide_correlation_all,guide_correlation_signif,guide_n_signif_ontarget,donor_correlation_all_mean,donor_correlation_hits_mean,donor_correlation_hits_min
ENSG00000114854,TNNC1,Stim48hr,False,2.0,0.0491000854312299,0.0944703447552886,2.0,0.012732199041665,0.3657003398170362,0.3248095889814248
ENSG00000114854,TNNC1,Stim8hr,False,2.0,0.0515747275794901,0.3453720710919515,1.0,0.0017206905847411,0.0955220487773323,0.0021283981263747
ENSG00000101470,TNNC2,Rest,True,1.0,0.0161787755359332,-0.7761625704446544,0.0,,,
ENSG00000101470,TNNC2,Stim48hr,True,1.0,-0.0856366985266287,,1.0,,,
ENSG00000101470,TNNC2,Stim8hr,True,1.0,0.0430267290979351,,2.0,,,
ENSG00000083312,TNPO1,Rest,False,2.0,0.1425040849698268,0.6244322039308055,1.0,0.2386330502949829,0.6945735873232786,0.6137312671602431
ENSG00000083312,TNPO1,Stim48hr,False,2.0,0.1977211597212211,0.5938228176391547,2.0,0.2728029434956868,0.8225818211682542,0.790110833238164
ENSG00000083312,TNPO1,Stim8hr,False,2.0,0.1500081026814667,0.6841407927007963,2.0,0.2046462549219292,0.8290738893512958,0.8137017730326066
ENSG00000105576,TNPO2,Rest,False,2.0,0.1231347397177006,,2.0,,,
ENSG00000105576,TNPO2,Stim48hr,False,2.0,0.100499329200428,,2.0,,,
ENSG00000105576,TNPO2,Stim8hr,False,2.0,0.0740986187187426,1.0,2.0,,,
ENSG00000064419,TNPO3,Rest,False,2.0,,,,,,
ENSG00000182095,TNRC18,Stim48hr,True,1.0,0.0804090066628854,,0.0,,,
ENSG00000182095,TNRC18,Stim8hr,True,1.0,0.1122764814042002,,1.0,,,
ENSG00000090905,TNRC6A,Rest,False,2.0,0.0541131249954402,0.2036433499715016,2.0,0.075616484293759,0.6135094822235008,0.5412553356261883
ENSG00000090905,TNRC6A,Stim48hr,False,2.0,0.3022575717176077,0.6504567726257224,2.0,0.2635852137282362,0.8259641110528624,0.810820188150936
