ensembl,symbol,pearson_z,empirical_p,n_co_measured,class,kd_cd4_abs,kd_rpe1_ontarget_abs,min_kd_rank,well_powered,rpe1_cells,donor_robust,program
ENSG00000184983,NDUFA6,0.0337,0.3233,7036,intermediate,11.361,1.117,0.7536,True,110,True,
ENSG00000173085,COQ2,0.0334,0.2467,7036,intermediate,3.55,0.472,0.0738,False,195,True,
ENSG00000174173,TRMT10C,0.0328,0.0833,7036,intermediate,7.38,0.717,0.4844,False,105,True,
ENSG00000163349,HIPK1,0.0328,0.1433,7036,intermediate,4.409,0.413,0.1476,False,70,True,
ENSG00000170906,NDUFA3,0.0327,0.3,7036,intermediate,17.225,0.832,0.6881,True,181,True,
ENSG00000108010,GLRX3,0.0325,0.45,7035,intermediate,8.577,1.516,0.5894,True,83,True,
ENSG00000153574,RPIA,0.0325,0.2633,7036,intermediate,5.154,0.365,0.1514,False,36,False,
ENSG00000148396,SEC16A,0.0324,0.0433,7036,intermediate,5.563,0.462,0.2869,False,225,False,
ENSG00000066322,ELOVL1,0.032,0.05,7036,intermediate,19.524,0.929,0.7243,True,106,False,
ENSG00000181035,SLC25A42,0.0319,0.0233,7036,intermediate,8.339,,0.5707,False,53,False,
ENSG00000196865,NHLRC2,0.0319,0.6867,7036,intermediate,7.098,0.647,0.4584,False,76,True,
ENSG00000113068,PFDN1,0.0318,0.6667,7036,intermediate,13.412,1.038,0.7864,True,59,False,
ENSG00000134153,EMC7,0.0314,0.0067,7036,intermediate,29.866,1.029,0.7819,True,140,True,
ENSG00000188612,SUMO2,0.0313,0.0367,7036,intermediate,7.701,2.054,0.5166,True,38,False,
ENSG00000182504,CEP97,0.0313,0.27,7036,intermediate,7.228,0.414,0.2282,False,63,False,
ENSG00000169592,INO80E,0.031,0.0533,7036,intermediate,13.24,0.617,0.4915,False,81,True,
ENSG00000116754,SRSF11,0.0309,0.0433,7036,intermediate,4.151,0.449,0.1216,False,317,False,
ENSG00000185651,UBE2L3,0.0302,0.1933,7036,intermediate,34.599,1.599,0.9232,True,129,False,
ENSG00000134717,BTF3L4,0.0299,0.09,7036,intermediate,22.763,0.967,0.7503,True,277,False,
ENSG00000178952,TUFM,0.0299,0.4867,7036,intermediate,11.099,1.442,0.7401,True,176,True,
ENSG00000132463,GRSF1,0.0298,0.0233,7036,intermediate,27.056,0.986,0.7616,True,133,True,
ENSG00000173473,SMARCC1,0.0296,0.3533,7036,intermediate,12.655,1.145,0.7859,True,89,True,
ENSG00000152234,ATP5F1A,0.0295,0.12,7035,intermediate,14.778,1.629,0.8555,True,92,True,
ENSG00000068305,MEF2A,0.0294,0.0967,7036,intermediate,8.271,0.51,0.3684,False,24,False,
ENSG00000169446,MMGT1,0.0293,0.0533,7036,intermediate,14.511,0.534,0.3944,False,107,True,
ENSG00000183048,SLC25A10,0.0291,0.6967,7036,intermediate,3.22,0.105,0.0045,False,224,True,
ENSG00000037637,FBXO42,0.029,0.5667,7036,intermediate,9.768,0.355,0.1277,False,883,True,
ENSG00000073050,XRCC1,0.0286,0.04,7036,intermediate,9.933,0.465,0.304,False,107,False,
ENSG00000136238,RAC1,0.0285,0.48,7035,intermediate,6.859,2.029,0.4335,False,43,False,
ENSG00000185158,LRRC37B,0.0285,0.5767,7036,intermediate,5.156,,0.2401,False,88,False,
ENSG00000101132,PFDN4,0.0285,0.0767,7036,intermediate,9.307,0.769,0.6362,True,100,True,
ENSG00000153786,ZDHHC7,0.0284,0.0867,7036,intermediate,7.093,0.49,0.3401,False,405,False,
ENSG00000197713,RPE,0.0283,0.7133,7036,intermediate,8.394,0.58,0.4565,False,57,True,
ENSG00000074582,BCS1L,0.0281,0.68,7036,intermediate,7.42,0.452,0.2859,False,106,True,
ENSG00000165480,SKA3,0.0277,0.4033,7036,intermediate,7.118,0.47,0.3141,False,65,True,
ENSG00000123374,CDK2,0.0276,0.7033,7036,intermediate,13.332,0.418,0.2384,False,206,True,
ENSG00000173660,UQCRH,0.0275,0.0367,7036,intermediate,5.988,2.225,0.3337,False,51,False,
ENSG00000086200,IPO11,0.0274,0.02,7036,intermediate,6.003,0.391,0.1819,False,77,False,
ENSG00000124217,MOCS3,0.0267,0.06,7036,intermediate,3.604,,0.079,False,75,True,
ENSG00000247077,PGAM5,0.0267,0.0133,7035,intermediate,7.978,0.384,0.1729,False,182,False,
ENSG00000196943,NOP9,0.0266,0.24,7036,intermediate,2.823,,0.0374,False,39,False,
ENSG00000184678,H2BC21,0.0266,0.4467,7036,intermediate,9.966,,0.6746,False,111,False,
ENSG00000119013,NDUFB3,0.0265,0.1433,7036,intermediate,15.938,1.359,0.8721,True,138,False,
ENSG00000105656,ELL,0.0264,0.1433,7036,intermediate,4.095,0.189,0.0113,False,171,False,
ENSG00000250312,ZNF718,0.0261,0.11,7036,intermediate,7.09,0.072,0.0023,False,435,False,
ENSG00000133059,DSTYK,0.0258,0.0233,7036,intermediate,10.624,0.391,0.1808,False,269,False,
ENSG00000197020,ZNF100,0.0256,0.08,7036,intermediate,6.046,,0.3451,False,172,False,
ENSG00000274349,ZNF658,0.0255,0.0333,7036,intermediate,3.125,,0.0457,False,68,False,
ENSG00000105281,SLC1A5,0.0255,0.08,7036,intermediate,11.61,0.549,0.4237,False,1962,False,
ENSG00000142089,IFITM3,0.0255,0.0533,7036,intermediate,5.508,0.954,0.2765,False,55,False,
ENSG00000080819,CPOX,0.0254,0.7567,7036,intermediate,10.889,0.489,0.339,False,48,True,
ENSG00000156709,AIFM1,0.0254,0.1867,7036,intermediate,9.316,0.583,0.4576,False,115,True,
ENSG00000123415,SMUG1,0.0253,0.4433,7036,intermediate,10.007,0.396,0.1887,False,21,False,
ENSG00000122378,PRXL2A,0.0252,0.03,7036,intermediate,5.175,1.264,0.2412,False,70,False,
ENSG00000118513,MYB,0.025,0.6233,7036,intermediate,4.39,,0.1455,False,66,True,
ENSG00000076043,REXO2,0.025,0.0367,7036,intermediate,28.222,1.444,0.9006,True,81,False,
ENSG00000182093,GET1,0.0248,0.03,7036,intermediate,4.406,0.365,0.1466,False,113,True,
ENSG00000152684,PELO,0.0247,0.2267,7036,intermediate,4.761,0.38,0.1684,False,121,False,
ENSG00000186834,HEXIM1,0.0247,0.5667,7036,intermediate,15.111,0.417,0.2362,False,50,True,
ENSG00000179295,PTPN11,0.0246,0.0333,7036,intermediate,17.555,1.209,0.8531,True,175,False,
ENSG00000162636,EEIG2,0.0245,0.1833,7036,intermediate,8.728,,0.5946,False,81,False,
ENSG00000008324,SS18L2,0.0244,0.6067,7036,intermediate,8.562,0.608,0.4836,False,166,True,
ENSG00000196262,PPIA,0.0242,0.07,7036,intermediate,18.676,3.021,0.9283,True,119,False,
ENSG00000101901,ALG13,0.024,0.1767,7036,intermediate,10.453,0.565,0.4407,False,44,True,
ENSG00000092871,RFFL,0.0238,0.1,7036,intermediate,9.174,0.348,0.1186,False,24,False,
ENSG00000143373,ZNF687,0.0235,0.2967,7036,intermediate,12.594,,0.7848,False,112,False,
ENSG00000139719,VPS33A,0.0235,0.1867,7036,intermediate,4.535,0.458,0.1601,False,65,False,
ENSG00000140740,UQCRC2,0.0235,0.0267,7036,intermediate,8.021,0.972,0.5468,True,68,True,
ENSG00000121940,CLCC1,0.0233,0.3933,7036,intermediate,13.347,0.484,0.3322,False,94,True,
ENSG00000116906,GNPAT,0.0229,0.48,7036,intermediate,5.51,0.553,0.2786,False,12,True,
ENSG00000172466,ZNF24,0.0229,0.0533,7036,intermediate,4.448,0.573,0.1497,False,49,False,
ENSG00000181038,METTL23,0.0228,0.0433,7036,intermediate,24.298,0.627,0.5006,True,90,True,
ENSG00000148840,PPRC1,0.0227,0.06,7036,intermediate,5.441,0.537,0.2703,False,55,True,
ENSG00000063046,EIF4B,0.0223,0.1,7036,intermediate,10.126,1.607,0.6871,True,397,False,
ENSG00000170266,GLB1,0.0223,0.33,7036,intermediate,10.738,0.413,0.226,False,45,False,
ENSG00000146463,ZMYM4,0.0222,0.02,7036,intermediate,7.217,0.846,0.4688,False,83,False,
ENSG00000266412,NCOA4,0.0221,0.74,7036,intermediate,29.542,0.655,0.5333,True,106,False,
ENSG00000117697,NSL1,0.022,0.0667,7036,intermediate,4.745,0.758,0.1933,False,51,False,
ENSG00000125459,MSTO1,0.0219,0.0767,7036,intermediate,5.178,0.293,0.0599,False,50,False,
ENSG00000118193,KIF14,0.0219,0.7167,7036,intermediate,7.804,0.538,0.4023,False,130,True,
ENSG00000106028,SSBP1,0.0217,0.09,7036,intermediate,3.382,1.551,0.0644,False,53,True,
ENSG00000078674,PCM1,0.0214,0.0667,7036,intermediate,7.186,1.163,0.4667,False,28,False,
ENSG00000110955,ATP5F1B,0.0214,0.0933,7036,intermediate,6.087,1.968,0.3524,False,108,False,
ENSG00000089902,RCOR1,0.0213,0.1233,7036,intermediate,15.561,0.578,0.4531,False,81,True,
ENSG00000254999,BRK1,0.0212,0.0567,7036,intermediate,15.558,1.698,0.8669,True,49,True,
ENSG00000174996,KLC2,0.0211,0.0967,7036,intermediate,12.766,0.432,0.2576,False,103,False,
ENSG00000162601,MYSM1,0.0207,0.7367,7036,intermediate,15.454,0.477,0.3243,False,108,True,
ENSG00000179091,CYC1,0.0207,0.63,7036,intermediate,9.008,1.11,0.6164,True,92,True,
ENSG00000178502,KLHL11,0.0206,0.6267,7036,intermediate,4.52,,0.1549,False,120,False,
ENSG00000131069,ACSS2,0.02,0.1467,7036,intermediate,7.584,,0.5052,False,81,False,
ENSG00000160606,TLCD1,0.02,0.5033,7036,intermediate,5.47,0.301,0.0689,False,131,False,
ENSG00000176444,CLK2,0.0198,0.0433,7036,intermediate,4.852,,0.2089,False,78,False,
ENSG00000165525,NEMF,0.0197,0.1,7036,intermediate,14.0,0.879,0.7051,True,79,True,
ENSG00000087470,DNM1L,0.0196,0.1,7036,intermediate,7.248,0.962,0.4751,False,99,False,
ENSG00000100890,PRORP,0.0196,0.51,7036,intermediate,9.081,0.568,0.4441,False,152,True,
ENSG00000264364,DYNLL2,0.0195,0.0267,7036,intermediate,18.23,0.508,0.3638,False,219,False,
ENSG00000108468,CBX1,0.0195,0.0667,7036,intermediate,6.399,1.181,0.3867,False,125,False,
ENSG00000165264,NDUFB6,0.0195,0.6,7036,intermediate,21.89,1.124,0.8192,True,81,True,
ENSG00000105583,WDR83OS,0.0194,0.5633,7036,intermediate,4.574,1.411,0.1663,False,100,False,
