gene,regulator_class,condition_specificity,n_signif_conditions,peak_condition
NDUFB10,global,0.487,3,Rest
NDUFB11,global,0.566,3,Stim48hr
NDUFB2,condition-specific,0.937,3,Stim48hr
NDUFB3,condition-specific,1.0,3,Rest
NDUFB4,condition-specific,0.884,3,Stim48hr
NDUFB5,global,0.444,3,Stim48hr
NDUFB6,condition-specific,0.916,3,Stim48hr
NDUFB7,condition-specific,0.797,3,Stim48hr
NDUFB8,condition-specific,0.9,3,Stim48hr
NDUFB9,condition-specific,0.927,3,Stim48hr
NDUFC1,condition-specific,0.968,3,Stim48hr
NDUFC2,global,0.571,3,Stim48hr
NDUFS1,condition-specific,0.806,3,Stim48hr
NDUFS2,condition-specific,0.885,3,Stim48hr
NDUFS3,condition-specific,0.87,3,Stim48hr
NDUFS4,global,0.4,3,Stim8hr
NDUFS5,condition-specific,0.98,3,Stim48hr
NDUFS6,global,0.5,3,Stim48hr
NDUFS7,condition-specific,0.768,3,Stim48hr
NDUFS8,condition-specific,0.846,3,Stim48hr
NDUFV1,condition-specific,0.8,3,Stim48hr
NDUFV2,global,0.418,3,Stim48hr
NDUFV3,global,0.5,3,Rest
NEB,condition-specific,1.0,1,Rest
NECAB3,global,0.5,3,Stim8hr
NECAP1,condition-specific,0.667,3,Rest
NECAP2,global,0.417,3,Stim48hr
NECTIN1,condition-specific,1.0,1,Stim8hr
NECTIN3,condition-specific,0.6,3,Stim48hr
NEDD4,condition-specific,1.0,1,Stim8hr
NEDD4L,condition-specific,0.667,2,Stim8hr
NEDD9,condition-specific,1.0,2,Stim48hr
NEIL1,global,0.539,2,Stim48hr
NEIL2,condition-specific,0.818,2,Stim48hr
NEIL3,global,0.5,3,Stim48hr
NEK1,condition-specific,1.0,3,Rest
NEK2,condition-specific,,3,Stim8hr
NEK3,condition-specific,1.0,2,Stim48hr
NEK4,global,0.583,3,Rest
NEK7,global,0.545,3,Stim48hr
NEK8,condition-specific,0.6,3,Stim8hr
NEK9,condition-specific,1.0,3,Stim48hr
NELFCD,condition-specific,0.604,3,Stim8hr
NELFE,global,0.457,3,Rest
NEMF,global,0.479,3,Stim8hr
NEMP1,global,0.5,3,Stim48hr
NEMP2,global,0.585,3,Rest
NETO2,condition-specific,1.0,3,Stim48hr
NEU1,condition-specific,,3,Stim8hr
NEU3,condition-specific,,3,Stim8hr
NEURL4,global,0.5,3,Stim8hr
NF1,condition-specific,0.786,3,Rest
NF2,condition-specific,1.0,3,Rest
NFAT5,condition-specific,0.999,3,Rest
NFATC2,condition-specific,0.994,2,Stim8hr
NFATC2IP,global,0.588,3,Rest
NFATC3,condition-specific,1.0,3,Stim48hr
NFE2L1,global,0.496,3,Stim48hr
NFE2L2,condition-specific,0.6,3,Rest
NFE2L3,condition-specific,0.615,3,Stim8hr
NFIX,condition-specific,1.0,1,Stim8hr
NFKB1,global,0.575,3,Stim8hr
NFKB2,global,0.534,3,Stim8hr
NFKBIA,global,0.417,3,Stim8hr
NFKBIB,condition-specific,0.833,2,Stim48hr
NFKBID,condition-specific,0.69,3,Stim8hr
NFKBIL1,condition-specific,0.887,3,Stim8hr
NFKBIZ,condition-specific,0.667,3,Rest
NFRKB,global,0.358,3,Rest
NFU1,condition-specific,0.937,3,Stim48hr
NFX1,condition-specific,1.0,3,Rest
NFXL1,condition-specific,,3,Stim8hr
NGLY1,condition-specific,0.977,3,Stim48hr
NGRN,condition-specific,0.989,3,Stim48hr
NHEJ1,condition-specific,0.875,3,Stim48hr
NHERF1,condition-specific,0.636,3,Rest
NHERF2,condition-specific,1.0,1,Stim8hr
NHLRC2,condition-specific,0.768,3,Stim48hr
NHLRC3,global,0.5,3,Stim48hr
NIBAN1,condition-specific,,3,Stim8hr
NIBAN2,condition-specific,1.0,3,Stim8hr
NICOL1,global,0.4,3,Stim48hr
NIF3L1,global,0.429,3,Stim8hr
NIN,global,0.429,3,Stim8hr
NINJ1,condition-specific,1.0,3,Stim8hr
NINJ2,condition-specific,,1,Rest
NIPA1,condition-specific,1.0,3,Stim48hr
NIPA2,condition-specific,0.636,3,Stim48hr
NIPAL3,global,0.5,3,Stim48hr
NIPAL4,condition-specific,1.0,1,Stim8hr
NIPBL,global,0.464,3,Stim48hr
NIPSNAP1,condition-specific,0.714,3,Stim48hr
NIPSNAP2,global,0.5,3,Stim8hr
NIPSNAP3A,condition-specific,1.0,3,Stim8hr
NISCH,condition-specific,0.667,3,Stim48hr
NIT1,condition-specific,0.7,3,Stim8hr
NIT2,condition-specific,0.714,3,Stim48hr
NKAPD1,global,0.419,3,Stim48hr
NKG7,global,0.5,3,Stim8hr
NKRF,condition-specific,0.667,3,Stim48hr
NKTR,global,0.419,3,Stim8hr
NLGN2,global,0.557,2,Stim48hr
NLK,condition-specific,0.667,3,Rest
NLN,condition-specific,0.75,3,Stim48hr
NLRC5,global,0.516,3,Rest
NLRP1,condition-specific,0.667,3,Stim8hr
NLRP2,condition-specific,1.0,3,Rest
NLRX1,condition-specific,0.928,3,Rest
NMB,condition-specific,0.667,3,Stim48hr
NME1,global,0.333,3,Rest
NME3,condition-specific,0.667,3,Stim48hr
NME4,global,0.368,3,Stim48hr
NME6,condition-specific,0.6,3,Stim8hr
NME7,global,0.4,3,Stim48hr
NMI,condition-specific,0.643,3,Stim8hr
NMRAL1,condition-specific,0.625,2,Stim8hr
NMRK1,global,0.333,3,Stim8hr
NMT1,condition-specific,,1,Stim8hr
NMT2,condition-specific,0.675,3,Stim8hr
NNT,condition-specific,0.615,3,Stim48hr
NOA1,condition-specific,0.978,3,Stim48hr
NOCT,condition-specific,,3,Stim8hr
NOD1,global,0.5,3,Stim8hr
NOL3,condition-specific,0.85,2,Rest
NOL7,condition-specific,1.0,1,Stim8hr
NOLC1,condition-specific,,1,Stim8hr
NOMO1,global,0.444,3,Stim48hr
NONO,condition-specific,0.663,3,Stim8hr
NOP53,condition-specific,0.73,3,Stim8hr
NOP9,condition-specific,1.0,1,Stim8hr
NOSIP,condition-specific,1.0,2,Stim48hr
NOTCH1,condition-specific,0.667,3,Stim48hr
NOTCH2,condition-specific,1.0,3,Stim8hr
NPAS2,condition-specific,1.0,1,Rest
NPC1,condition-specific,0.824,3,Rest
NPC2,condition-specific,0.822,3,Stim48hr
NPDC1,condition-specific,0.9,3,Stim48hr
NPEPL1,global,0.538,3,Stim48hr
NPEPPS,condition-specific,0.95,3,Rest
NPHP3,condition-specific,0.75,3,Stim48hr
NPHP4,condition-specific,0.688,3,Stim8hr
NPM3,condition-specific,0.7,3,Stim8hr
NPRL2,global,0.471,3,Rest
NPRL3,condition-specific,0.947,3,Rest
NPTN,global,0.381,3,Rest
NPTX1,condition-specific,1.0,3,Stim8hr
NQO1,condition-specific,0.6,3,Rest
NQO2,condition-specific,0.6,3,Stim48hr
NR1D1,condition-specific,,2,Stim8hr
NR1D2,condition-specific,1.0,2,Stim8hr
NR1H2,global,0.429,3,Rest
NR2C1,global,0.545,3,Rest
NR2C2,global,0.375,3,Rest
NR2C2AP,condition-specific,1.0,1,Stim8hr
NR3C1,global,0.5,3,Rest
NR4A1,condition-specific,1.0,1,Rest
NR4A2,condition-specific,,1,Stim8hr
NR4A3,condition-specific,0.927,2,Stim48hr
NRARP,condition-specific,1.0,1,Stim8hr
NRAS,global,0.502,3,Stim8hr
NRBF2,condition-specific,0.6,3,Rest
NRBP1,global,0.426,3,Stim48hr
NRDC,global,0.333,3,Stim8hr
NREP,condition-specific,1.0,3,Rest
NRGN,condition-specific,,1,Stim48hr
NRM,condition-specific,1.0,3,Stim8hr
NRP2,condition-specific,1.0,2,Stim48hr
NRROS,condition-specific,1.0,3,Stim8hr
NSD1,global,0.366,3,Stim48hr
NSD2,global,0.506,2,Stim8hr
NSDHL,global,0.5,3,Rest
NSFL1C,global,0.35,3,Stim48hr
NSG1,condition-specific,1.0,1,Stim48hr
NSL1,condition-specific,1.0,1,Stim48hr
NSMAF,global,0.5,3,Stim48hr
NSMCE2,condition-specific,1.0,1,Stim8hr
NSMF,global,0.4,3,Stim48hr
NSUN2,global,0.412,3,Stim8hr
NSUN3,global,0.4,3,Rest
NSUN4,condition-specific,0.877,3,Stim48hr
NSUN5,global,0.5,3,Stim8hr
NSUN6,condition-specific,0.6,2,Rest
NT5C,global,0.556,3,Stim48hr
NT5C2,global,0.375,3,Stim48hr
NT5C3B,condition-specific,,3,Stim8hr
NT5DC1,condition-specific,1.0,3,Stim48hr
NT5DC2,condition-specific,,3,Stim8hr
NT5DC3,condition-specific,0.667,3,Rest
NT5E,condition-specific,,3,Stim8hr
NT5M,condition-specific,,1,Stim48hr
NTAN1,condition-specific,,3,Stim8hr
NTAQ1,global,0.5,3,Stim48hr
NTHL1,condition-specific,0.794,2,Stim8hr
NTMT1,condition-specific,,3,Rest
NTNG2,condition-specific,,1,Stim48hr
NTPCR,condition-specific,0.824,3,Rest
NTRK2,condition-specific,1.0,1,Stim8hr
NUB1,global,0.4,3,Stim48hr
NUBPL,condition-specific,0.992,3,Stim48hr
NUCB2,global,0.375,3,Rest
NUCKS1,global,0.5,3,Stim8hr
NUDCD1,global,0.583,3,Stim48hr
NUDCD2,condition-specific,0.812,3,Stim8hr
NUDT1,condition-specific,0.714,3,Rest
NUDT13,condition-specific,1.0,1,Rest
NUDT14,condition-specific,1.0,1,Rest
NUDT15,condition-specific,1.0,3,Stim8hr
NUDT16,global,0.482,3,Stim8hr
NUDT16L1,condition-specific,0.714,3,Stim48hr
NUDT19,condition-specific,0.691,3,Rest
NUDT2,condition-specific,0.667,3,Stim8hr
NUDT22,condition-specific,0.638,3,Stim48hr
NUDT3,global,0.538,3,Stim8hr
NUDT5,condition-specific,0.609,3,Stim8hr
NUDT7,global,0.4,3,Stim8hr
NUDT8,condition-specific,,2,Stim8hr
NUDT9,condition-specific,1.0,3,Stim8hr
NUFIP2,condition-specific,0.947,3,Rest
NUMA1,condition-specific,0.667,3,Stim48hr
NUMB,global,0.407,3,Stim8hr
NUP133,condition-specific,1.0,1,Stim48hr
NUP188,global,0.466,3,Stim48hr
NUP210,condition-specific,0.8,3,Stim8hr
NUP35,condition-specific,0.971,3,Stim48hr
NUP37,condition-specific,0.962,3,Stim48hr
NUP42,condition-specific,0.767,3,Stim48hr
NUSAP1,condition-specific,0.787,3,Stim48hr
NXPE3,condition-specific,1.0,3,Rest
NXT1,condition-specific,0.918,3,Stim48hr
NXT2,condition-specific,,3,Stim8hr
OAF,condition-specific,1.0,1,Rest
OARD1,global,0.444,3,Stim48hr
OAS1,global,0.4,3,Stim48hr
OAS2,global,0.5,3,Stim8hr
OAS3,global,0.5,3,Stim8hr
OASL,condition-specific,,3,Rest
OAT,condition-specific,0.667,3,Stim48hr
OAZ1,global,0.583,3,Stim8hr
OAZ2,global,0.4,3,Stim48hr
OAZ3,condition-specific,1.0,1,Stim48hr
OBI1,condition-specific,,3,Stim8hr
OBSCN,condition-specific,1.0,1,Stim48hr
OCEL1,global,0.4,3,Stim8hr
OCIAD1,condition-specific,1.0,3,Stim8hr
OCIAD2,global,0.52,3,Stim48hr
ODC1,condition-specific,0.733,3,Stim8hr
ODF2,condition-specific,,3,Rest
ODF2L,condition-specific,1.0,2,Stim48hr
ODR4,condition-specific,0.857,2,Rest
OFD1,condition-specific,1.0,3,Stim8hr
OGA,global,0.533,3,Stim8hr
OGDH,condition-specific,0.8,3,Stim8hr
OGFOD2,global,0.5,3,Stim48hr
OGFR,condition-specific,0.75,3,Rest
OGFRL1,condition-specific,0.667,3,Stim48hr
OGG1,condition-specific,1.0,3,Rest
OGT,condition-specific,0.877,2,Stim8hr
OLA1,condition-specific,,2,Stim8hr
OMA1,global,0.5,3,Rest
OPA1,condition-specific,0.615,3,Rest
OPA3,global,0.5,3,Stim48hr
OPN3,global,0.588,3,Stim8hr
OPTN,condition-specific,1.0,3,Stim48hr
ORAI1,condition-specific,0.941,3,Stim8hr
ORAI2,condition-specific,0.75,3,Stim8hr
ORAI3,condition-specific,1.0,2,Stim48hr
ORC4,condition-specific,1.0,1,Stim8hr
ORMDL1,global,0.429,3,Stim48hr
ORMDL2,condition-specific,1.0,3,Rest
OS9,condition-specific,0.75,3,Rest
OSBPL10,condition-specific,1.0,1,Stim48hr
OSBPL11,global,0.333,3,Rest
OSBPL2,condition-specific,1.0,2,Stim48hr
OSBPL3,condition-specific,1.0,3,Stim48hr
OSBPL8,condition-specific,,3,Stim8hr
OSER1,condition-specific,,3,Stim8hr
OSGEP,condition-specific,1.0,1,Stim8hr
OSGEPL1,condition-specific,1.0,2,Stim8hr
OSGIN2,condition-specific,,3,Stim8hr
OSM,condition-specific,0.667,3,Rest
OST4,global,0.518,3,Stim48hr
OSTC,condition-specific,1.0,3,Stim8hr
OSTF1,condition-specific,0.66,3,Stim8hr
OSTM1,global,0.5,3,Stim8hr
OTUB1,global,0.425,3,Rest
OTUB2,condition-specific,1.0,2,Stim8hr
OTUD1,condition-specific,0.771,3,Rest
OTUD3,condition-specific,1.0,3,Rest
OTUD4,global,0.417,3,Stim8hr
OTUD5,global,0.583,3,Stim48hr
OTUD6B,global,0.5,3,Rest
OTUD7B,condition-specific,0.6,3,Stim48hr
OTULIN,condition-specific,,3,Stim8hr
OTULINL,condition-specific,1.0,3,Stim8hr
OXA1L,condition-specific,0.803,3,Stim48hr
OXCT1,global,0.455,3,Stim48hr
OXLD1,global,0.556,3,Rest
OXNAD1,condition-specific,1.0,1,Stim8hr
OXR1,global,0.368,3,Rest
OXSM,global,0.48,3,Stim48hr
OXSR1,condition-specific,0.667,3,Rest
P2RX4,global,0.538,3,Rest
P2RX5,condition-specific,0.667,3,Stim8hr
P2RX7,condition-specific,,3,Stim48hr
P2RY10,global,0.5,3,Stim48hr
P2RY11,condition-specific,,1,Stim8hr
P2RY8,condition-specific,1.0,3,Rest
P3H1,condition-specific,1.0,3,Stim48hr
P3H4,condition-specific,,1,Stim48hr
P4HA1,condition-specific,0.625,3,Stim48hr
P4HA2,condition-specific,,2,Stim8hr
P4HB,global,0.466,3,Rest
P4HTM,condition-specific,0.765,3,Stim8hr
PA2G4,global,0.495,3,Rest
PAAF1,global,0.333,3,Rest
PABIR1,condition-specific,0.696,2,Stim8hr
PABIR2,condition-specific,0.75,3,Stim8hr
PABIR3,condition-specific,0.839,3,Stim48hr
PABPC1L,condition-specific,1.0,3,Rest
PABPC4,condition-specific,1.0,1,Stim8hr
PACC1,global,0.583,3,Stim48hr
PACRGL,condition-specific,1.0,3,Stim8hr
PACS1,global,0.4,3,Stim48hr
PACS2,condition-specific,0.741,3,Stim48hr
PACSIN2,condition-specific,0.998,3,Rest
PACSIN3,global,0.588,2,Rest
PAFAH1B2,condition-specific,1.0,3,Stim48hr
PAFAH1B3,condition-specific,0.6,3,Stim48hr
PAGR1,global,0.479,3,Stim8hr
PAICS,condition-specific,0.967,3,Stim48hr
PAIP1,global,0.504,3,Rest
PAIP2,condition-specific,0.778,3,Stim48hr
PAIP2B,condition-specific,,1,Stim48hr
PAK1,condition-specific,1.0,1,Rest
PAK2,global,0.483,3,Rest
PAK4,condition-specific,0.667,3,Stim8hr
PALS1,condition-specific,0.606,3,Stim48hr
PALS2,condition-specific,0.75,3,Rest
PAN2,condition-specific,0.882,2,Stim8hr
PAN3,global,0.561,3,Stim48hr
PANK1,condition-specific,0.667,3,Stim48hr
PANK2,condition-specific,,3,Stim8hr
PANK3,condition-specific,,3,Stim8hr
PANK4,condition-specific,1.0,1,Stim48hr
PANX2,condition-specific,1.0,1,Stim48hr
PAPOLA,global,0.524,3,Stim8hr
PAPOLG,condition-specific,,3,Stim8hr
PAPSS1,condition-specific,0.976,3,Rest
PAQR3,condition-specific,,3,Stim8hr
PAQR4,global,0.4,3,Stim48hr
PAQR7,condition-specific,1.0,1,Rest
PAQR8,condition-specific,1.0,1,Stim48hr
PARD6A,condition-specific,0.947,3,Rest
PARD6B,condition-specific,,2,Stim8hr
PARK7,condition-specific,0.887,3,Stim48hr
PARL,condition-specific,0.997,3,Stim48hr
PARN,condition-specific,0.75,3,Stim8hr
PARP1,condition-specific,1.0,3,Rest
PARP10,global,0.5,3,Rest
PARP11,global,0.5,3,Rest
PARP12,global,0.4,3,Stim8hr
PARP14,condition-specific,0.732,3,Stim8hr
PARP15,global,0.5,3,Rest
PARP16,condition-specific,1.0,3,Rest
PARP2,global,0.537,3,Stim8hr
PARP4,condition-specific,,3,Stim8hr
PARP6,condition-specific,1.0,3,Stim48hr
PARP8,global,0.514,3,Stim8hr
PARP9,global,0.468,3,Rest
PARPBP,global,0.4,3,Rest
PARS2,global,0.502,3,Stim8hr
PARVB,condition-specific,1.0,3,Rest
PARVG,global,0.333,3,Rest
PASK,condition-specific,1.0,3,Stim8hr
PATJ,condition-specific,0.676,3,Stim8hr
PATL1,condition-specific,0.943,3,Rest
PATZ1,global,0.5,3,Stim8hr
PAWR,condition-specific,,1,Stim48hr
PAXIP1,global,0.376,3,Stim48hr
PAXX,global,0.545,3,Stim8hr
PBDC1,condition-specific,1.0,3,Stim48hr
PBK,condition-specific,1.0,3,Stim8hr
PBRM1,global,0.5,3,Rest
PBX2,global,0.489,3,Stim8hr
PBX3,global,0.4,3,Rest
PBX4,global,0.5,3,Stim8hr
PBXIP1,condition-specific,1.0,2,Stim48hr
PCBD1,global,0.5,3,Rest
PCBP1,global,0.528,3,Stim8hr
PCBP2,global,0.501,3,Stim8hr
PCBP4,global,0.495,3,Rest
PCCA,condition-specific,1.0,3,Stim8hr
PCCB,global,0.5,3,Rest
PCGF1,global,0.398,3,Stim48hr
PCGF3,condition-specific,0.61,3,Stim48hr
PCGF5,condition-specific,,1,Stim8hr
PCGF6,global,0.434,3,Stim8hr
PCIF1,global,0.385,3,Stim8hr
PCK2,condition-specific,0.625,3,Stim8hr
PCLAF,condition-specific,1.0,3,Stim48hr
PCM1,global,0.517,2,Rest
PCMT1,global,0.412,3,Stim8hr
PCMTD1,condition-specific,,3,Stim8hr
PCMTD2,global,0.5,3,Stim48hr
PCNT,condition-specific,1.0,1,Rest
PCNX1,global,0.417,3,Stim48hr
PCNX2,global,0.455,3,Stim48hr
PCNX3,global,0.425,3,Stim48hr
PCNX4,condition-specific,0.986,3,Rest
PCOLCE,condition-specific,0.875,2,Rest
PCSK7,global,0.481,3,Rest
PCTP,condition-specific,,2,Stim8hr
PCYOX1,condition-specific,,3,Stim8hr
PCYOX1L,global,0.5,3,Rest
PCYT1A,condition-specific,0.75,3,Stim8hr
PCYT2,global,0.37,3,Rest
PDCD1,condition-specific,1.0,2,Stim48hr
PDCD10,condition-specific,0.643,3,Stim48hr
PDCD2,condition-specific,1.0,1,Stim8hr
PDCD2L,condition-specific,0.706,3,Rest
PDCD4,global,0.429,3,Stim8hr
PDCD5,condition-specific,0.932,3,Stim48hr
PDCD6,condition-specific,,3,Stim8hr
PDCD6IP,condition-specific,,3,Stim8hr
PDCL,global,0.426,3,Stim48hr
PDCL3,global,0.556,3,Stim48hr
PDE12,condition-specific,0.6,3,Stim8hr
PDE1B,condition-specific,1.0,3,Stim48hr
PDE3B,condition-specific,0.607,3,Stim48hr
PDE4B,condition-specific,0.667,3,Rest
PDE6D,condition-specific,1.0,1,Stim48hr
PDE6G,condition-specific,,1,Rest
PDE7A,condition-specific,,3,Rest
PDE7B,condition-specific,1.0,2,Stim48hr
PDE8A,condition-specific,0.667,2,Stim48hr
PDHA1,condition-specific,0.965,3,Stim48hr
PDHB,condition-specific,0.942,3,Stim48hr
PDHX,global,0.333,3,Rest
PDIA3,condition-specific,0.759,3,Stim8hr
PDIA4,condition-specific,1.0,3,Stim8hr
PDIA5,condition-specific,,3,Stim8hr
PDIA6,global,0.374,3,Stim8hr
PDIK1L,global,0.333,3,Stim8hr
PDK1,condition-specific,1.0,2,Rest
PDK2,condition-specific,,3,Rest
PDK3,condition-specific,0.625,3,Stim48hr
PDLIM1,condition-specific,0.8,2,Rest
PDLIM2,global,0.514,3,Stim8hr
PDP1,condition-specific,0.636,3,Rest
PDP2,global,0.467,3,Stim48hr
PDPK1,global,0.553,3,Stim48hr
PDPR,condition-specific,0.857,3,Rest
PDS5B,global,0.475,3,Stim8hr
PDSS1,condition-specific,0.729,3,Stim8hr
PDSS2,global,0.484,3,Stim8hr
PDXK,condition-specific,1.0,3,Rest
PDXP,global,0.5,3,Stim48hr
PDZD11,global,0.556,3,Stim48hr
PDZD8,global,0.5,3,Stim48hr
PEA15,global,0.5,3,Rest
PEAK1,global,0.429,3,Stim48hr
PEBP1,condition-specific,1.0,3,Stim48hr
PECR,condition-specific,0.714,3,Stim48hr
PEDS1,global,0.556,3,Stim48hr
PEF1,condition-specific,,3,Stim8hr
PELI1,global,0.5,3,Stim48hr
PELI3,condition-specific,,1,Stim8hr
PELO,global,0.573,3,Stim48hr
PEMT,global,0.5,3,Rest
PEPD,condition-specific,0.667,3,Stim48hr
PER1,condition-specific,1.0,1,Stim48hr
PER2,global,0.5,3,Stim8hr
PERP,condition-specific,,3,Stim8hr
PET100,condition-specific,1.0,1,Stim8hr
PET117,condition-specific,1.0,1,Stim8hr
PEX10,condition-specific,1.0,3,Stim48hr
PEX11A,condition-specific,,1,Stim48hr
PEX11B,condition-specific,1.0,3,Stim48hr
PEX12,global,0.5,2,Stim48hr
PEX13,global,0.333,3,Stim8hr
PEX14,global,0.412,3,Stim48hr
PEX16,condition-specific,0.833,3,Rest
PEX19,global,0.481,3,Stim8hr
PEX2,condition-specific,1.0,2,Stim8hr
PEX26,condition-specific,0.667,3,Stim48hr
PEX3,global,0.423,3,Stim48hr
PEX5,global,0.565,3,Stim48hr
PEX6,condition-specific,0.746,3,Stim8hr
PEX7,condition-specific,,3,Stim8hr
PFAS,global,0.588,2,Stim8hr
PFDN1,global,0.353,3,Rest
PFDN4,condition-specific,0.86,2,Stim48hr
PFDN5,condition-specific,0.753,3,Rest
PFDN6,condition-specific,1.0,1,Stim8hr
PFKFB2,condition-specific,1.0,1,Rest
PFKFB3,condition-specific,1.0,1,Stim48hr
PFKFB4,condition-specific,1.0,1,Stim48hr
PFKM,condition-specific,0.951,3,Rest
PFKP,condition-specific,0.8,3,Stim48hr
PFN2,condition-specific,1.0,1,Stim48hr
PGAM1,condition-specific,0.695,3,Stim8hr
PGAM5,global,0.5,3,Stim8hr
PGAP1,condition-specific,0.667,3,Stim48hr
PGAP2,condition-specific,1.0,1,Stim48hr
PGAP3,condition-specific,,3,Stim48hr
PGAP6,condition-specific,0.6,3,Stim48hr
PGBD2,condition-specific,0.971,2,Stim8hr
PGD,condition-specific,1.0,1,Stim8hr
PGGHG,condition-specific,0.6,3,Stim8hr
PGGT1B,condition-specific,0.945,2,Stim8hr
PGK1,global,0.488,3,Stim8hr
PGLS,condition-specific,0.88,2,Stim8hr
PGM1,global,0.551,3,Rest
PGM2,condition-specific,,3,Stim8hr
PGM2L1,condition-specific,0.8,2,Rest
PGP,condition-specific,0.998,3,Stim48hr
PGRMC1,global,0.5,3,Rest
PGRMC2,condition-specific,1.0,3,Rest
PGS1,condition-specific,0.725,3,Rest
PHACTR4,condition-specific,0.929,3,Rest
PHAF1,condition-specific,0.857,3,Stim48hr
PHC1,global,0.5,3,Stim48hr
PHC2,condition-specific,1.0,3,Stim48hr
PHC3,condition-specific,1.0,3,Stim48hr
PHF1,global,0.5,3,Rest
PHF10,condition-specific,0.621,3,Rest
PHF11,global,0.545,3,Stim8hr
PHF12,global,0.513,3,Stim8hr
PHF13,condition-specific,0.615,3,Rest
PHF14,global,0.5,3,Rest
PHF19,condition-specific,0.671,3,Stim8hr
PHF2,condition-specific,0.667,3,Stim48hr
PHF20,condition-specific,0.912,3,Stim48hr
PHF20L1,condition-specific,0.896,3,Stim8hr
PHF21A,global,0.4,3,Stim8hr
PHF23,global,0.456,3,Rest
PHF3,global,0.427,3,Rest
PHF6,condition-specific,0.868,3,Stim48hr
PHF8,condition-specific,0.828,3,Stim48hr
PHGDH,condition-specific,,3,Stim8hr
PHIP,condition-specific,0.888,3,Stim48hr
PHKA1,condition-specific,,2,Stim8hr
PHKA2,condition-specific,0.636,3,Stim48hr
PHKB,global,0.333,3,Stim8hr
PHKG2,global,0.538,3,Stim48hr
PHLDA1,condition-specific,,2,Stim8hr
PHLDA2,condition-specific,,1,Stim48hr
PHLDA3,condition-specific,1.0,3,Stim48hr
PHLDB2,condition-specific,,1,Rest
PHLPP1,condition-specific,1.0,3,Rest
PHLPP2,condition-specific,0.943,3,Stim8hr
PHOSPHO2,condition-specific,0.912,3,Stim8hr
PHPT1,condition-specific,1.0,3,Rest
PHRF1,condition-specific,0.667,3,Stim8hr
PHTF1,global,0.5,3,Rest
PHTF2,global,0.4,3,Stim8hr
PHYH,condition-specific,1.0,3,Stim48hr
PHYKPL,global,0.429,3,Stim8hr
PI4K2B,global,0.5,3,Stim8hr
PIAS1,condition-specific,1.0,1,Rest
PIAS2,condition-specific,0.667,3,Rest
PIAS3,condition-specific,,1,Stim48hr
PIAS4,condition-specific,,3,Stim8hr
PIBF1,condition-specific,0.67,2,Stim8hr
PICALM,global,0.48,3,Stim48hr
PICK1,global,0.5,3,Stim48hr
PIDD1,condition-specific,1.0,2,Stim48hr
PIEZO1,condition-specific,0.6,3,Rest
PIF1,global,0.5,3,Stim48hr
PIGA,condition-specific,1.0,1,Stim48hr
PIGB,global,0.438,3,Stim8hr
PIGC,global,0.4,3,Rest
PIGF,condition-specific,0.962,3,Rest
PIGG,condition-specific,,3,Stim8hr
PIGH,condition-specific,0.956,3,Rest
PIGK,condition-specific,1.0,3,Stim48hr
PIGL,global,0.4,3,Stim8hr
PIGM,condition-specific,,3,Stim8hr
PIGN,global,0.495,3,Stim8hr
PIGO,global,0.438,3,Stim48hr
PIGP,condition-specific,0.667,3,Stim48hr
PIGQ,condition-specific,1.0,3,Stim48hr
PIGS,global,0.5,3,Rest
PIGT,global,0.333,3,Rest
PIGU,condition-specific,1.0,2,Stim8hr
PIGV,global,0.5,3,Stim8hr
PIGW,condition-specific,0.941,3,Stim8hr
PIGX,condition-specific,0.65,3,Rest
PIH1D1,condition-specific,1.0,3,Rest
PIK3C2A,condition-specific,1.0,3,Stim48hr
PIK3C2B,condition-specific,1.0,3,Rest
PIK3C3,condition-specific,1.0,3,Stim48hr
PIK3CA,global,0.4,3,Rest
PIK3CB,global,0.5,3,Rest
PIK3CD,condition-specific,0.762,3,Stim48hr
PIK3CG,global,0.55,3,Rest
PIK3IP1,condition-specific,1.0,2,Stim48hr
PIK3R1,condition-specific,,2,Stim8hr
PIK3R2,condition-specific,0.714,3,Stim48hr
PIK3R4,condition-specific,0.6,3,Rest
PIK3R5,condition-specific,0.8,3,Rest
PIKFYVE,global,0.533,2,Rest
PILRB,global,0.5,3,Stim48hr
PIM1,global,0.512,2,Rest
PIM2,condition-specific,0.667,3,Stim8hr
PIM3,condition-specific,0.778,2,Stim48hr
PIN1,condition-specific,1.0,1,Stim48hr
PIN4,global,0.556,3,Rest
PINK1,global,0.545,3,Stim8hr
PIP4K2A,condition-specific,1.0,1,Stim8hr
PIP4K2B,global,0.594,3,Rest
PIP4K2C,global,0.333,3,Rest
PIP4P1,global,0.381,3,Stim48hr
PIP5K1A,global,0.4,3,Stim48hr
PIP5K1C,global,0.429,3,Stim48hr
PIR,condition-specific,1.0,3,Stim8hr
PITHD1,condition-specific,1.0,3,Stim8hr
PITPNA,global,0.333,3,Rest
PITPNB,condition-specific,0.84,3,Stim48hr
PITPNC1,condition-specific,1.0,3,Rest
PITPNM1,global,0.4,3,Rest
PITRM1,condition-specific,0.966,3,Stim48hr
PJA1,global,0.571,3,Stim48hr
PJA2,global,0.593,3,Stim8hr
PKD1,condition-specific,,3,Rest
PKD2,global,0.571,3,Stim8hr
PKIA,condition-specific,,3,Stim8hr
PKM,condition-specific,0.877,3,Stim8hr
