perturbed_gene,condition,reg_class,measured_gene,log_fc,lfcSE,theta_post_mean,theta_post_sd,p_effect_positive,p_abs_effect_gt_1p5x
LAT,Stim8hr,TCR (context-specific),HMGB2,1.367,0.165,1.255,0.158,1.0,1.0
LAT,Stim8hr,TCR (context-specific),MAP9,-1.19,0.327,-0.881,0.282,0.001,0.853
LAT,Stim8hr,TCR (context-specific),HPGD,2.168,0.478,1.243,0.362,1.0,0.966
LAT,Stim8hr,TCR (context-specific),IL15,1.906,0.514,1.024,0.376,0.997,0.878
LAT,Stim8hr,TCR (context-specific),ABCE1,-0.677,0.068,-0.667,0.067,0.0,0.888
LAT,Stim8hr,TCR (context-specific),PRMT9,0.882,0.119,0.843,0.117,1.0,0.987
LAT,Stim8hr,TCR (context-specific),F2RL1,3.57,0.797,1.161,0.455,0.995,0.898
LAT,Stim8hr,TCR (context-specific),SERINC5,1.467,0.135,1.385,0.131,1.0,1.0
LAT,Stim8hr,TCR (context-specific),ERAP2,1.182,0.104,1.142,0.103,1.0,1.0
LAT,Stim8hr,TCR (context-specific),ACSL6,-1.082,0.276,-0.867,0.247,0.0,0.873
LAT,Stim8hr,TCR (context-specific),IL3,-2.595,0.608,-1.176,0.409,0.002,0.926
LAT,Stim8hr,TCR (context-specific),CSF2,-1.448,0.374,-0.995,0.31,0.001,0.907
LAT,Stim8hr,TCR (context-specific),CREBRF,1.109,0.176,1.007,0.167,1.0,0.994
LAT,Stim8hr,TCR (context-specific),SAMD3,1.58,0.234,1.341,0.215,1.0,1.0
LAT,Stim8hr,TCR (context-specific),TMEM200A,3.33,0.413,2.138,0.331,1.0,1.0
LAT,Stim8hr,TCR (context-specific),STK17A,1.104,0.102,1.067,0.101,1.0,1.0
LAT,Stim8hr,TCR (context-specific),KCNK5,-1.055,0.176,-0.958,0.167,0.0,0.987
LAT,Stim8hr,TCR (context-specific),CDCA7L,-0.873,0.099,-0.846,0.098,0.0,0.996
LAT,Stim8hr,TCR (context-specific),ZNF704,-2.504,0.37,-1.729,0.308,0.0,1.0
LAT,Stim8hr,TCR (context-specific),FABP5,-1.457,0.096,-1.414,0.095,0.0,1.0
LAT,Stim8hr,TCR (context-specific),TAGAP,-1.033,0.186,-0.929,0.176,0.0,0.975
LAT,Stim8hr,TCR (context-specific),BRI3,0.887,0.076,0.87,0.076,1.0,1.0
LAT,Stim8hr,TCR (context-specific),GPR146,3.13,0.646,1.325,0.42,0.999,0.961
LAT,Stim8hr,TCR (context-specific),YWHAZ,0.685,0.048,0.679,0.048,1.0,0.975
LAT,Stim8hr,TCR (context-specific),SLC25A32,-0.694,0.088,-0.677,0.086,0.0,0.856
LAT,Stim8hr,TCR (context-specific),TP53INP1,3.013,0.366,2.098,0.305,1.0,1.0
LAT,Stim8hr,TCR (context-specific),PDP1,1.573,0.223,1.353,0.207,1.0,1.0
LAT,Stim8hr,TCR (context-specific),TMEM65,1.07,0.138,1.007,0.134,1.0,0.999
LAT,Stim8hr,TCR (context-specific),FXN,-0.793,0.095,-0.77,0.094,0.0,0.975
LAT,Stim8hr,TCR (context-specific),TMEM71,2.567,0.159,2.371,0.153,1.0,1.0
LAT,Stim8hr,TCR (context-specific),CARD19,1.172,0.121,1.119,0.118,1.0,1.0
LAT,Stim8hr,TCR (context-specific),AQP3,3.024,0.235,2.562,0.216,1.0,1.0
LAT,Stim8hr,TCR (context-specific),ARHGAP12,0.884,0.184,0.796,0.175,1.0,0.886
LAT,Stim8hr,TCR (context-specific),HECTD2,-1.064,0.267,-0.863,0.241,0.0,0.876
LAT,Stim8hr,TCR (context-specific),MARCHF8,1.485,0.143,1.393,0.138,1.0,1.0
LAT,Stim8hr,TCR (context-specific),CRYL1,1.044,0.229,0.891,0.212,1.0,0.926
LAT,Stim8hr,TCR (context-specific),DNAAF2,-0.879,0.171,-0.803,0.164,0.0,0.908
LAT,Stim8hr,TCR (context-specific),FAAH2,2.594,0.417,1.654,0.333,1.0,0.999
LAT,Stim8hr,TCR (context-specific),DACT1,2.573,0.65,1.081,0.422,0.995,0.88
LAT,Stim8hr,TCR (context-specific),SPACA9,2.438,0.403,1.592,0.326,1.0,0.999
LAT,Stim8hr,TCR (context-specific),ZMYND19,-0.745,0.101,-0.721,0.099,0.0,0.916
LAT,Stim8hr,TCR (context-specific),CASP7,0.847,0.124,0.807,0.121,1.0,0.967
LAT,Stim8hr,TCR (context-specific),CCDC186,0.805,0.119,0.77,0.116,1.0,0.944
LAT,Stim8hr,TCR (context-specific),ZFYVE1,1.076,0.151,1.002,0.146,1.0,0.998
LAT,Stim8hr,TCR (context-specific),TC2N,2.896,0.156,2.682,0.15,1.0,1.0
LAT,Stim8hr,TCR (context-specific),MOAP1,1.002,0.111,0.963,0.109,1.0,1.0
LAT,Stim8hr,TCR (context-specific),TCP11L2,1.809,0.267,1.467,0.241,1.0,1.0
LAT,Stim8hr,TCR (context-specific),NOLC1,-0.7,0.076,-0.687,0.076,0.0,0.911
LAT,Stim8hr,TCR (context-specific),SMPD1,1.671,0.178,1.515,0.169,1.0,1.0
LAT,Stim8hr,TCR (context-specific),APBB1,2.03,0.297,1.577,0.261,1.0,1.0
LAT,Stim8hr,TCR (context-specific),ILK,1.475,0.128,1.4,0.125,1.0,1.0
LAT,Stim8hr,TCR (context-specific),TPP1,0.83,0.108,0.8,0.106,1.0,0.979
LAT,Stim8hr,TCR (context-specific),CYB5A,0.915,0.134,0.864,0.13,1.0,0.984
LAT,Stim8hr,TCR (context-specific),RIC3,1.281,0.366,0.891,0.305,0.998,0.842
LAT,Stim8hr,TCR (context-specific),ZMAT1,2.145,0.463,1.261,0.355,1.0,0.971
LAT,Stim8hr,TCR (context-specific),C16orf46,1.386,0.33,1.023,0.283,1.0,0.939
LAT,Stim8hr,TCR (context-specific),TMEM41B,0.703,0.092,0.684,0.091,1.0,0.863
LAT,Stim8hr,TCR (context-specific),MAPK7,1.015,0.16,0.937,0.153,1.0,0.989
LAT,Stim8hr,TCR (context-specific),TK2,1.074,0.223,0.925,0.206,1.0,0.95
LAT,Stim8hr,TCR (context-specific),CENPV,-1.173,0.17,-1.071,0.163,0.0,0.999
LAT,Stim8hr,TCR (context-specific),SLFN5,2.815,0.188,2.523,0.178,1.0,1.0
LAT,Stim8hr,TCR (context-specific),BMERB1,-1.425,0.438,-0.877,0.343,0.005,0.802
LAT,Stim8hr,TCR (context-specific),FAM111A,0.807,0.139,0.759,0.135,1.0,0.901
LAT,Stim8hr,TCR (context-specific),ANKDD1A,2.279,0.296,1.771,0.261,1.0,1.0
LAT,Stim8hr,TCR (context-specific),NAB2,-1.366,0.161,-1.26,0.155,0.0,1.0
LAT,Stim8hr,TCR (context-specific),ATP23,0.867,0.156,0.803,0.151,1.0,0.926
LAT,Stim8hr,TCR (context-specific),STX3,1.421,0.29,1.115,0.257,1.0,0.981
LAT,Stim8hr,TCR (context-specific),C15orf48,3.122,0.406,2.029,0.327,1.0,1.0
LAT,Stim8hr,TCR (context-specific),SMAD3,1.201,0.116,1.15,0.114,1.0,1.0
LAT,Stim8hr,TCR (context-specific),MAP1A,3.232,0.331,2.379,0.284,1.0,1.0
LAT,Stim8hr,TCR (context-specific),AKTIP,1.949,0.133,1.842,0.129,1.0,1.0
LAT,Stim8hr,TCR (context-specific),CNPY4,1.371,0.182,1.238,0.173,1.0,1.0
LAT,Stim8hr,TCR (context-specific),EEIG1,1.57,0.184,1.414,0.175,1.0,1.0
LAT,Stim8hr,TCR (context-specific),C15orf39,1.043,0.123,0.995,0.12,1.0,1.0
LAT,Stim8hr,TCR (context-specific),TBC1D2B,0.7,0.092,0.681,0.091,1.0,0.854
LAT,Stim8hr,TCR (context-specific),SNX20,1.487,0.162,1.369,0.156,1.0,1.0
LAT,Stim8hr,TCR (context-specific),TPM4,1.001,0.108,0.965,0.106,1.0,1.0
LAT,Stim8hr,TCR (context-specific),MIDN,0.697,0.09,0.679,0.088,1.0,0.856
LAT,Stim8hr,TCR (context-specific),PROCA1,1.493,0.311,1.134,0.271,1.0,0.978
LAT,Stim8hr,TCR (context-specific),ZNF641,1.203,0.172,1.097,0.164,1.0,0.999
LAT,Stim8hr,TCR (context-specific),TUBA1A,1.704,0.313,1.292,0.272,1.0,0.995
LAT,Stim8hr,TCR (context-specific),NFKBID,-1.091,0.228,-0.933,0.211,0.0,0.951
LAT,Stim8hr,TCR (context-specific),LAIR1,3.014,0.342,2.181,0.291,1.0,1.0
LAT,Stim8hr,TCR (context-specific),SPINT2,3.298,0.391,2.199,0.32,1.0,1.0
LAT,Stim8hr,TCR (context-specific),TLCD3A,-1.117,0.287,-0.881,0.254,0.0,0.878
LAT,Stim8hr,TCR (context-specific),RILP,1.573,0.223,1.354,0.207,1.0,1.0
LAT,Stim8hr,TCR (context-specific),WDR81,0.827,0.103,0.8,0.101,1.0,0.983
LAT,Stim8hr,TCR (context-specific),ZNF83,1.074,0.238,0.906,0.219,1.0,0.929
LAT,Stim8hr,TCR (context-specific),CDK2AP2,1.009,0.11,0.971,0.108,1.0,1.0
LAT,Stim8hr,TCR (context-specific),CD300A,2.575,0.476,1.479,0.361,1.0,0.993
LAT,Stim8hr,TCR (context-specific),FTH1,1.031,0.163,0.949,0.157,1.0,0.99
LAT,Stim8hr,TCR (context-specific),ATG16L2,1.11,0.113,1.066,0.111,1.0,1.0
LAT,Stim8hr,TCR (context-specific),TRANK1,2.776,0.284,2.196,0.253,1.0,1.0
LAT,Stim8hr,TCR (context-specific),MAP4K2,0.882,0.139,0.83,0.134,1.0,0.966
LAT,Stim8hr,TCR (context-specific),DDIT4,1.298,0.21,1.134,0.197,1.0,0.997
LAT,Stim8hr,TCR (context-specific),RBPJ,-0.791,0.138,-0.745,0.134,0.0,0.885
LAT,Stim8hr,TCR (context-specific),GNG4,-1.258,0.273,-1.013,0.244,0.0,0.96
LAT,Stim8hr,TCR (context-specific),PCMTD1,0.785,0.11,0.755,0.108,1.0,0.943
LAT,Stim8hr,TCR (context-specific),XIRP1,-3.225,0.616,-1.441,0.412,0.0,0.981
LAT,Stim8hr,TCR (context-specific),FILIP1L,4.71,0.745,1.677,0.444,1.0,0.993
LAT,Stim8hr,TCR (context-specific),MFSD2A,-1.058,0.197,-0.938,0.186,0.0,0.971
LAT,Stim8hr,TCR (context-specific),IL7R,2.36,0.27,1.906,0.243,1.0,1.0
LAT,Stim8hr,TCR (context-specific),SEMA4C,1.228,0.304,0.944,0.266,1.0,0.911
LAT,Stim8hr,TCR (context-specific),PPIP5K1,1.109,0.241,0.932,0.221,1.0,0.942
LAT,Stim8hr,TCR (context-specific),NSG1,2.322,0.528,1.215,0.382,0.999,0.95
LAT,Stim8hr,TCR (context-specific),VAMP5,1.001,0.16,0.924,0.154,1.0,0.986
LAT,Stim8hr,TCR (context-specific),SLC35G2,-1.905,0.561,-0.939,0.394,0.009,0.816
LAT,Stim8hr,TCR (context-specific),LGALS9,1.908,0.28,1.52,0.25,1.0,1.0
LAT,Stim8hr,TCR (context-specific),E2F6,-0.845,0.126,-0.803,0.123,0.0,0.962
LAT,Stim8hr,TCR (context-specific),IRS1,0.901,0.221,0.777,0.205,1.0,0.826
LAT,Stim8hr,TCR (context-specific),RGS14,1.029,0.147,0.961,0.142,1.0,0.996
LAT,Stim8hr,TCR (context-specific),CA5B,1.498,0.179,1.356,0.171,1.0,1.0
LAT,Stim8hr,TCR (context-specific),ADRB2,2.87,0.669,1.166,0.426,0.997,0.913
LAT,Stim8hr,TCR (context-specific),RNASE6,2.822,0.638,1.212,0.418,0.998,0.933
LAT,Stim8hr,TCR (context-specific),SCN9A,2.175,0.629,0.95,0.415,0.989,0.81
LAT,Stim8hr,TCR (context-specific),PLEKHA2,1.051,0.126,1.0,0.123,1.0,1.0
LAT,Stim8hr,TCR (context-specific),CLIC4,1.704,0.323,1.271,0.279,1.0,0.993
LAT,Stim8hr,TCR (context-specific),CKAP2L,0.978,0.206,0.859,0.193,1.0,0.922
LAT,Stim8hr,TCR (context-specific),HEXD,0.802,0.122,0.764,0.119,1.0,0.934
LAT,Stim8hr,TCR (context-specific),CHRNA5,-1.446,0.362,-1.013,0.303,0.0,0.921
LAT,Stim8hr,TCR (context-specific),UGP2,0.812,0.106,0.783,0.104,1.0,0.972
LAT,Stim8hr,TCR (context-specific),CSGALNACT2,1.192,0.114,1.143,0.112,1.0,1.0
LAT,Stim8hr,TCR (context-specific),ITGAM,1.532,0.207,1.343,0.194,1.0,1.0
LAT,Stim8hr,TCR (context-specific),KLF13,1.258,0.105,1.214,0.103,1.0,1.0
LAT,Stim8hr,TCR (context-specific),TMEM154,1.537,0.201,1.357,0.189,1.0,1.0
LAT,Stim8hr,TCR (context-specific),GABARAP,1.524,0.116,1.46,0.113,1.0,1.0
LAT,Stim8hr,TCR (context-specific),ELOVL6,1.255,0.186,1.127,0.177,1.0,0.999
LAT,Stim8hr,TCR (context-specific),ARL6IP1,0.843,0.119,0.806,0.116,1.0,0.971
LAT,Stim8hr,TCR (context-specific),EMB,1.07,0.094,1.04,0.093,1.0,1.0
LAT,Stim8hr,TCR (context-specific),STAT2,1.471,0.116,1.409,0.114,1.0,1.0
LAT,Stim8hr,TCR (context-specific),ACYP2,1.085,0.135,1.024,0.131,1.0,1.0
LAT,Stim8hr,TCR (context-specific),SOCS6,-1.134,0.333,-0.833,0.285,0.002,0.807
LAT,Stim8hr,TCR (context-specific),POLH,0.852,0.098,0.826,0.096,1.0,0.994
LAT,Stim8hr,TCR (context-specific),AKAP13,0.715,0.092,0.696,0.09,1.0,0.89
LAT,Stim8hr,TCR (context-specific),USP32,0.737,0.079,0.722,0.078,1.0,0.96
LAT,Stim8hr,TCR (context-specific),GSTA4,-1.41,0.419,-0.896,0.334,0.004,0.824
LAT,Stim8hr,TCR (context-specific),PAQR8,1.42,0.242,1.192,0.222,1.0,0.997
LAT,Stim8hr,TCR (context-specific),CAVIN3,-2.524,0.583,-1.196,0.401,0.001,0.936
LAT,Stim8hr,TCR (context-specific),FEZ2,0.729,0.122,0.696,0.119,1.0,0.824
LAT,Stim8hr,TCR (context-specific),GIMAP8,1.627,0.16,1.501,0.154,1.0,1.0
LAT,Stim8hr,TCR (context-specific),TRIM8,-0.922,0.14,-0.867,0.135,0.0,0.981
LAT,Stim8hr,TCR (context-specific),NETO2,-0.83,0.157,-0.769,0.151,0.0,0.889
LAT,Stim8hr,TCR (context-specific),JUNB,0.775,0.088,0.756,0.087,1.0,0.976
LAT,Stim8hr,TCR (context-specific),NPTX1,1.692,0.291,1.325,0.258,1.0,0.998
LAT,Stim8hr,TCR (context-specific),BCL2L1,-0.755,0.088,-0.736,0.087,0.0,0.958
LAT,Stim8hr,TCR (context-specific),ZNF584,-1.221,0.346,-0.878,0.293,0.001,0.841
LAT,Stim8hr,TCR (context-specific),RGS19,1.067,0.085,1.043,0.084,1.0,1.0
LAT,Stim8hr,TCR (context-specific),TCEA2,0.928,0.188,0.832,0.178,1.0,0.917
LAT,Stim8hr,TCR (context-specific),BCL2,0.697,0.092,0.678,0.09,1.0,0.849
LAT,Stim8hr,TCR (context-specific),PWWP2B,2.057,0.351,1.467,0.296,1.0,0.999
LAT,Stim8hr,TCR (context-specific),C3AR1,2.051,0.379,1.396,0.313,1.0,0.995
LAT,Stim8hr,TCR (context-specific),PRNP,0.764,0.1,0.74,0.099,1.0,0.942
LAT,Stim8hr,TCR (context-specific),ZNF217,0.757,0.092,0.737,0.091,1.0,0.953
LAT,Stim8hr,TCR (context-specific),MAL,2.98,0.224,2.559,0.208,1.0,1.0
LAT,Stim8hr,TCR (context-specific),ORMDL3,1.284,0.127,1.22,0.124,1.0,1.0
LAT,Stim8hr,TCR (context-specific),MOB3A,0.704,0.062,0.696,0.062,1.0,0.964
LAT,Stim8hr,TCR (context-specific),SLFN12,1.453,0.256,1.196,0.233,1.0,0.996
LAT,Stim8hr,TCR (context-specific),SNTB1,1.085,0.225,0.931,0.209,1.0,0.952
LAT,Stim8hr,TCR (context-specific),IL16,0.919,0.163,0.845,0.157,1.0,0.951
LAT,Stim8hr,TCR (context-specific),GNB2,0.773,0.063,0.763,0.062,1.0,0.998
LAT,Stim8hr,TCR (context-specific),RASGRP1,1.436,0.112,1.379,0.11,1.0,1.0
LAT,Stim8hr,TCR (context-specific),RND1,2.047,0.529,1.07,0.382,0.997,0.898
LAT,Stim8hr,TCR (context-specific),ZMAT3,1.337,0.194,1.19,0.183,1.0,1.0
LAT,Stim8hr,TCR (context-specific),ZFAND4,1.27,0.179,1.15,0.17,1.0,1.0
LAT,Stim8hr,TCR (context-specific),THEMIS,1.212,0.156,1.123,0.15,1.0,1.0
LAT,Stim8hr,TCR (context-specific),CFL1,0.724,0.062,0.715,0.061,1.0,0.983
LAT,Stim8hr,TCR (context-specific),RAB37,2.695,0.344,1.944,0.292,1.0,1.0
LAT,Stim8hr,TCR (context-specific),CES4A,1.224,0.287,0.964,0.255,1.0,0.931
LAT,Stim8hr,TCR (context-specific),ANKRD13D,0.758,0.086,0.74,0.085,1.0,0.966
LAT,Stim8hr,TCR (context-specific),MYD88,0.78,0.081,0.763,0.081,1.0,0.987
LAT,Stim8hr,TCR (context-specific),TADA2B,0.773,0.083,0.756,0.082,1.0,0.981
LAT,Stim8hr,TCR (context-specific),PARP14,0.728,0.108,0.701,0.106,1.0,0.865
LAT,Stim8hr,TCR (context-specific),CYSLTR1,1.673,0.332,1.231,0.285,1.0,0.988
LAT,Stim8hr,TCR (context-specific),PARP15,1.727,0.171,1.577,0.163,1.0,1.0
LAT,Stim8hr,TCR (context-specific),ABCD2,1.734,0.199,1.536,0.187,1.0,1.0
LAT,Stim8hr,TCR (context-specific),GLRX,1.866,0.168,1.709,0.16,1.0,1.0
LAT,Stim8hr,TCR (context-specific),GOLGB1,1.125,0.127,1.068,0.124,1.0,1.0
LAT,Stim8hr,TCR (context-specific),GPR137,0.776,0.124,0.739,0.121,1.0,0.898
LAT,Stim8hr,TCR (context-specific),ZNF449,2.14,0.298,1.661,0.262,1.0,1.0
LAT,Stim8hr,TCR (context-specific),PPP1R3B,1.275,0.228,1.09,0.211,1.0,0.992
LAT,Stim8hr,TCR (context-specific),TRIB1,-1.797,0.273,-1.445,0.245,0.0,1.0
LAT,Stim8hr,TCR (context-specific),INSM1,-1.881,0.55,-0.946,0.39,0.008,0.822
LAT,Stim8hr,TCR (context-specific),TNFRSF10D,1.509,0.379,1.027,0.313,0.999,0.921
LAT,Stim8hr,TCR (context-specific),CHD2,1.048,0.092,1.02,0.09,1.0,1.0
LAT,Stim8hr,TCR (context-specific),SULT1B1,3.192,0.522,1.69,0.38,1.0,0.998
LAT,Stim8hr,TCR (context-specific),AGFG1,-0.665,0.073,-0.654,0.072,0.0,0.83
LAT,Stim8hr,TCR (context-specific),ENDOV,0.905,0.204,0.797,0.191,1.0,0.866
LAT,Stim8hr,TCR (context-specific),RNF213,1.033,0.096,1.002,0.095,1.0,1.0
LAT,Stim8hr,TCR (context-specific),GPR160,1.003,0.266,0.815,0.24,1.0,0.831
LAT,Stim8hr,TCR (context-specific),GOLIM4,-1.299,0.275,-1.042,0.246,0.0,0.968
LAT,Stim8hr,TCR (context-specific),TLR1,3.751,0.256,3.089,0.233,1.0,1.0
LAT,Stim8hr,TCR (context-specific),TLR6,1.501,0.241,1.261,0.221,1.0,0.999
LAT,Stim8hr,TCR (context-specific),CTU2,-0.758,0.091,-0.739,0.09,0.0,0.957
LAT,Stim8hr,TCR (context-specific),PHLDA3,0.987,0.252,0.818,0.229,1.0,0.845
LAT,Stim8hr,TCR (context-specific),DENND4A,0.949,0.091,0.924,0.09,1.0,1.0
LAT,Stim8hr,TCR (context-specific),RESF1,1.294,0.099,1.254,0.097,1.0,1.0
LAT,Stim8hr,TCR (context-specific),RAB1B,0.807,0.068,0.795,0.067,1.0,0.999
LAT,Stim8hr,TCR (context-specific),VCPIP1,0.675,0.08,0.662,0.079,1.0,0.833
LAT,Stim8hr,TCR (context-specific),PCCA,1.031,0.191,0.921,0.181,1.0,0.969
LAT,Stim8hr,TCR (context-specific),DCTN2,0.674,0.082,0.66,0.081,1.0,0.822
LAT,Stim8hr,TCR (context-specific),CTDSP2,1.085,0.221,0.936,0.205,1.0,0.957
LAT,Stim8hr,TCR (context-specific),PHYKPL,0.959,0.122,0.914,0.12,1.0,0.997
LAT,Stim8hr,TCR (context-specific),ARL10,-0.868,0.2,-0.767,0.188,0.0,0.834
LAT,Stim8hr,TCR (context-specific),TBC1D10C,1.129,0.115,1.082,0.113,1.0,1.0
LAT,Stim8hr,TCR (context-specific),POLD4,1.118,0.14,1.051,0.136,1.0,1.0
LAT,Stim8hr,TCR (context-specific),DRAP1,0.679,0.067,0.669,0.066,1.0,0.899
LAT,Stim8hr,TCR (context-specific),FOSL1,-1.065,0.184,-0.959,0.175,0.0,0.984
LAT,Stim8hr,TCR (context-specific),TOM1L2,1.214,0.203,1.07,0.191,1.0,0.995
LAT,Stim8hr,TCR (context-specific),LINC02694,2.536,0.44,1.554,0.344,1.0,0.998
LAT,Stim8hr,TCR (context-specific),MSRA,1.032,0.189,0.924,0.179,1.0,0.971
LAT,Stim8hr,TCR (context-specific),SLCO3A1,1.317,0.155,1.222,0.149,1.0,1.0
LAT,Stim8hr,TCR (context-specific),MTHFR,0.873,0.119,0.834,0.116,1.0,0.984
LAT,Stim8hr,TCR (context-specific),SLC38A9,0.816,0.113,0.783,0.111,1.0,0.963
LAT,Stim8hr,TCR (context-specific),KCNA3,1.116,0.161,1.029,0.155,1.0,0.998
LAT,Stim8hr,TCR (context-specific),SAMD9L,3.015,0.239,2.542,0.219,1.0,1.0
LAT,Stim8hr,TCR (context-specific),TGIF1,-1.252,0.211,-1.093,0.197,0.0,0.995
LAT,Stim8hr,TCR (context-specific),ZBED2,-1.733,0.119,-1.657,0.116,0.0,1.0
LAT,Stim8hr,TCR (context-specific),IRX3,2.716,0.725,1.0,0.44,0.989,0.828
LAT,Stim8hr,TCR (context-specific),GBA1,0.754,0.129,0.715,0.126,1.0,0.85
LAT,Stim8hr,TCR (context-specific),AGTRAP,2.368,0.201,2.092,0.189,1.0,1.0
LAT,Stim8hr,TCR (context-specific),CD151,-1.25,0.151,-1.163,0.146,0.0,1.0
LAT,Stim8hr,TCR (context-specific),ANXA2R,2.304,0.202,2.033,0.19,1.0,1.0
LAT,Stim8hr,TCR (context-specific),CHID1,-0.695,0.075,-0.682,0.075,0.0,0.904
LAT,Stim8hr,TCR (context-specific),ODF3B,1.571,0.257,1.293,0.233,1.0,0.999
LAT,Stim8hr,TCR (context-specific),PLEC,1.511,0.149,1.409,0.144,1.0,1.0
LAT,Stim8hr,TCR (context-specific),BEND3,-1.167,0.207,-1.023,0.194,0.0,0.988
LAT,Stim8hr,TCR (context-specific),SLC25A20,0.913,0.122,0.871,0.119,1.0,0.992
LAT,Stim8hr,TCR (context-specific),CTNNBIP1,1.304,0.2,1.153,0.188,1.0,0.999
LAT,Stim8hr,TCR (context-specific),ERN1,0.794,0.155,0.736,0.149,1.0,0.845
LAT,Stim8hr,TCR (context-specific),PARP10,1.437,0.176,1.306,0.168,1.0,1.0
LAT,Stim8hr,TCR (context-specific),RPP25,-1.167,0.239,-0.984,0.219,0.0,0.966
LAT,Stim8hr,TCR (context-specific),ZHX2,0.815,0.156,0.755,0.15,1.0,0.872
LAT,Stim8hr,TCR (context-specific),HYI,1.279,0.352,0.912,0.297,0.999,0.864
LAT,Stim8hr,TCR (context-specific),TMEM107,1.604,0.275,1.287,0.246,1.0,0.998
LAT,Stim8hr,TCR (context-specific),TMTC2,1.189,0.327,0.881,0.282,0.999,0.853
LAT,Stim8hr,TCR (context-specific),GIMAP7,1.536,0.175,1.397,0.167,1.0,1.0
LAT,Stim8hr,TCR (context-specific),FUCA1,0.91,0.209,0.797,0.196,1.0,0.86
LAT,Stim8hr,TCR (context-specific),GEMIN4,-0.78,0.091,-0.759,0.09,0.0,0.974
LAT,Stim8hr,TCR (context-specific),LACC1,1.486,0.37,1.027,0.308,1.0,0.925
LAT,Stim8hr,TCR (context-specific),MYADM,2.393,0.296,1.861,0.261,1.0,1.0
LAT,Stim8hr,TCR (context-specific),CITED4,1.281,0.259,1.051,0.235,1.0,0.977
LAT,Stim8hr,TCR (context-specific),R3HDM2,0.882,0.131,0.836,0.127,1.0,0.975
LAT,Stim8hr,TCR (context-specific),DCTPP1,-0.697,0.078,-0.684,0.077,0.0,0.901
LAT,Stim8hr,TCR (context-specific),SEPTIN1,0.87,0.075,0.854,0.074,1.0,1.0
LAT,Stim8hr,TCR (context-specific),ZNRF2,0.844,0.098,0.818,0.097,1.0,0.992
LAT,Stim8hr,TCR (context-specific),HCLS1,0.829,0.054,0.821,0.053,1.0,1.0
LAT,Stim8hr,TCR (context-specific),ARHGAP45,1.295,0.094,1.259,0.093,1.0,1.0
LAT,Stim8hr,TCR (context-specific),FUT7,1.636,0.5,0.901,0.371,0.992,0.803
LAT,Stim8hr,TCR (context-specific),MB21D2,0.948,0.169,0.866,0.162,1.0,0.959
LAT,Stim8hr,TCR (context-specific),ZFP3,1.109,0.295,0.864,0.26,1.0,0.858
LAT,Stim8hr,TCR (context-specific),TCEAL8,0.771,0.127,0.732,0.124,1.0,0.882
LAT,Stim8hr,TCR (context-specific),SLC26A11,2.051,0.3,1.585,0.264,1.0,1.0
LAT,Stim8hr,TCR (context-specific),DHTKD1,0.783,0.149,0.73,0.144,1.0,0.843
LAT,Stim8hr,TCR (context-specific),DDX60L,2.348,0.17,2.145,0.163,1.0,1.0
LAT,Stim8hr,TCR (context-specific),SGSH,1.45,0.202,1.279,0.19,1.0,1.0
LAT,Stim8hr,TCR (context-specific),MACIR,-0.85,0.183,-0.767,0.173,0.0,0.853
LAT,Stim8hr,TCR (context-specific),SIAH2,-1.173,0.098,-1.137,0.097,0.0,1.0
LAT,Stim8hr,TCR (context-specific),SLC9A9,2.256,0.578,1.079,0.4,0.997,0.892
LAT,Stim8hr,TCR (context-specific),ZNF101,0.907,0.125,0.863,0.122,1.0,0.989
LAT,Stim8hr,TCR (context-specific),IDH2,1.091,0.123,1.04,0.12,1.0,1.0
LAT,Stim8hr,TCR (context-specific),TDRKH,1.029,0.226,0.882,0.209,1.0,0.922
LAT,Stim8hr,TCR (context-specific),ZNF708,0.928,0.127,0.882,0.124,1.0,0.992
LAT,Stim8hr,TCR (context-specific),P2RY8,1.885,0.165,1.732,0.158,1.0,1.0
LAT,Stim8hr,TCR (context-specific),UBA7,1.31,0.136,1.235,0.132,1.0,1.0
LAT,Stim8hr,TCR (context-specific),TRAPPC6B,0.733,0.116,0.702,0.114,1.0,0.849
LAT,Stim8hr,TCR (context-specific),FES,2.209,0.227,1.89,0.21,1.0,1.0
LAT,Stim8hr,TCR (context-specific),LIMK2,1.228,0.148,1.146,0.143,1.0,1.0
LAT,Stim8hr,TCR (context-specific),SATB1,0.815,0.126,0.775,0.123,1.0,0.939
LAT,Stim8hr,TCR (context-specific),ANXA2,0.796,0.132,0.753,0.128,1.0,0.905
LAT,Stim8hr,TCR (context-specific),ABAT,1.119,0.279,0.891,0.249,1.0,0.89
LAT,Stim8hr,TCR (context-specific),SMDT1,0.806,0.071,0.793,0.07,1.0,0.998
LAT,Stim8hr,TCR (context-specific),PTTG1IP,0.751,0.081,0.735,0.08,1.0,0.969
LAT,Stim8hr,TCR (context-specific),FHL3,-0.833,0.171,-0.761,0.164,0.0,0.858
LAT,Stim8hr,TCR (context-specific),GPR132,0.988,0.158,0.913,0.152,1.0,0.985
LAT,Stim8hr,TCR (context-specific),MX2,2.423,0.371,1.672,0.308,1.0,1.0
LAT,Stim8hr,TCR (context-specific),TENT5C,1.279,0.23,1.091,0.212,1.0,0.991
