perturbed_gene,condition,reg_class,measured_gene,log_fc,lfcSE,theta_post_mean,theta_post_sd,p_effect_positive,p_abs_effect_gt_1p5x
TAF6L,Stim8hr,SAGA/chromatin,ITGA2,1.438,0.247,1.199,0.226,1.0,0.997
TAF6L,Stim8hr,SAGA/chromatin,WDR41,0.928,0.1,0.899,0.098,1.0,0.999
TAF6L,Stim8hr,SAGA/chromatin,ACSL6,-2.751,0.258,-2.26,0.234,0.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,IL3,-3.551,0.559,-1.758,0.393,0.0,0.999
TAF6L,Stim8hr,SAGA/chromatin,CREBRF,0.822,0.138,0.774,0.134,1.0,0.922
TAF6L,Stim8hr,SAGA/chromatin,DCBLD1,1.07,0.291,0.839,0.257,0.999,0.838
TAF6L,Stim8hr,SAGA/chromatin,STEAP1,1.503,0.397,0.993,0.322,0.999,0.897
TAF6L,Stim8hr,SAGA/chromatin,ZNF704,-1.665,0.243,-1.396,0.222,0.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,FZD6,0.775,0.13,0.734,0.127,1.0,0.881
TAF6L,Stim8hr,SAGA/chromatin,PSIP1,0.696,0.085,0.68,0.084,1.0,0.873
TAF6L,Stim8hr,SAGA/chromatin,TMEM71,0.977,0.149,0.911,0.144,1.0,0.988
TAF6L,Stim8hr,SAGA/chromatin,HGSNAT,0.765,0.124,0.729,0.121,1.0,0.884
TAF6L,Stim8hr,SAGA/chromatin,AQP3,1.304,0.228,1.116,0.21,1.0,0.994
TAF6L,Stim8hr,SAGA/chromatin,ZCCHC24,1.52,0.352,1.083,0.297,1.0,0.953
TAF6L,Stim8hr,SAGA/chromatin,PGM2L1,-1.457,0.38,-0.99,0.313,0.001,0.902
TAF6L,Stim8hr,SAGA/chromatin,PACSIN3,-1.282,0.22,-1.107,0.204,0.0,0.995
TAF6L,Stim8hr,SAGA/chromatin,AGBL2,1.265,0.37,0.875,0.307,0.998,0.827
TAF6L,Stim8hr,SAGA/chromatin,IFI27L1,0.94,0.132,0.89,0.128,1.0,0.991
TAF6L,Stim8hr,SAGA/chromatin,SMPD1,1.131,0.153,1.051,0.147,1.0,0.999
TAF6L,Stim8hr,SAGA/chromatin,SERPINB8,0.851,0.136,0.803,0.132,1.0,0.951
TAF6L,Stim8hr,SAGA/chromatin,CDYL2,0.853,0.143,0.8,0.138,1.0,0.94
TAF6L,Stim8hr,SAGA/chromatin,HDGFL3,0.845,0.193,0.753,0.182,1.0,0.823
TAF6L,Stim8hr,SAGA/chromatin,TK2,1.333,0.16,1.23,0.154,1.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,C15orf48,2.201,0.373,1.514,0.309,1.0,0.999
TAF6L,Stim8hr,SAGA/chromatin,MAP1A,1.845,0.322,1.377,0.279,1.0,0.998
TAF6L,Stim8hr,SAGA/chromatin,GNGT2,0.814,0.12,0.778,0.118,1.0,0.949
TAF6L,Stim8hr,SAGA/chromatin,NOD2,1.936,0.37,1.338,0.308,1.0,0.993
TAF6L,Stim8hr,SAGA/chromatin,DPEP2,1.167,0.346,0.838,0.294,0.998,0.806
TAF6L,Stim8hr,SAGA/chromatin,TPM4,0.997,0.093,0.97,0.092,1.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,LAIR1,1.843,0.31,1.404,0.27,1.0,0.999
TAF6L,Stim8hr,SAGA/chromatin,SPINT2,1.586,0.364,1.106,0.304,1.0,0.957
TAF6L,Stim8hr,SAGA/chromatin,TRANK1,1.859,0.251,1.542,0.229,1.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,PBK,0.799,0.145,0.748,0.14,1.0,0.878
TAF6L,Stim8hr,SAGA/chromatin,LRATD2,-2.319,0.395,-1.536,0.322,0.0,0.998
TAF6L,Stim8hr,SAGA/chromatin,LDLRAD4,1.404,0.227,1.202,0.21,1.0,0.998
TAF6L,Stim8hr,SAGA/chromatin,SEMA4C,1.103,0.255,0.909,0.232,1.0,0.919
TAF6L,Stim8hr,SAGA/chromatin,IL12A,1.824,0.465,1.07,0.356,0.999,0.914
TAF6L,Stim8hr,SAGA/chromatin,VAMP5,0.832,0.134,0.786,0.13,1.0,0.939
TAF6L,Stim8hr,SAGA/chromatin,CHST14,0.761,0.091,0.741,0.09,1.0,0.958
TAF6L,Stim8hr,SAGA/chromatin,ATF5,0.766,0.136,0.723,0.132,1.0,0.852
TAF6L,Stim8hr,SAGA/chromatin,BTD,0.865,0.195,0.77,0.184,1.0,0.843
TAF6L,Stim8hr,SAGA/chromatin,CMTM8,-1.133,0.263,-0.925,0.237,0.0,0.924
TAF6L,Stim8hr,SAGA/chromatin,SMAD1,1.351,0.303,1.04,0.266,1.0,0.956
TAF6L,Stim8hr,SAGA/chromatin,SPATA24,0.855,0.143,0.802,0.138,1.0,0.942
