source,target,condition,subsumption_frac
AACS,C8orf33,Rest,0.058011049723756904
AACS,CAB39,Rest,0.05970149253731343
AACS,CALM1,Rest,0.07142857142857142
AACS,CAND1,Rest,0.0711864406779661
AACS,CARM1,Rest,0.06584362139917696
AACS,CARNMT1,Rest,0.05844155844155844
AACS,CASP3,Rest,0.0898876404494382
ABCA5,TADA2B,Rest,0.08914728682170543
ABCA5,ELAVL1,Rest,0.08042488619119878
ABCA5,ARNT,Rest,0.07621247113163972
ABCA5,NSD1,Rest,0.08849557522123894
ABCA5,USP22,Rest,0.07905138339920949
ABCA5,AACS,Rest,0.07317073170731707
ABCA5,ABCC1,Rest,0.06779661016949153
ABCA5,ACACA,Rest,0.02127659574468085
ABCA5,ADNP,Rest,0.0845771144278607
ABCA5,ADNP2,Rest,0.09195402298850575
ABCA5,AHR,Rest,0.0608875128998968
ABCA5,AHSA1,Rest,0.05161290322580645
ABCA5,AK3,Rest,0.06557377049180328
ABCA5,AKAP17A,Rest,0.06944444444444445
ABCA5,ANKRD11,Rest,0.1116751269035533
ABCA5,ANKRD27,Rest,0.06153846153846154
ABCA5,ANTKMT,Rest,0.1037037037037037
ABCA5,APEX1,Rest,0.04924242424242424
ABCA5,APMAP,Rest,0.08391608391608392
ABCA5,APOBEC3B,Rest,0.10047846889952153
ABCA5,ARHGAP15,Rest,0.09433962264150944
ABCA5,ARHGAP30,Rest,0.0461133069828722
ABCA5,ARID5A,Rest,0.06976744186046512
ABCA5,ARIH2,Rest,0.03636363636363636
ABCA5,ARL8B,Rest,0.044642857142857144
ABCA5,ARMC8,Rest,0.0794392523364486
ABCA5,ARRB1,Rest,0.04225352112676056
ABCA5,ASXL1,Rest,0.051351351351351354
ABCA5,ATAD5,Rest,0.06818181818181818
ABCA5,ATF7IP,Rest,0.059322033898305086
ABCA5,ATG12,Rest,0.06361323155216285
ABCA5,ATM,Rest,0.08396946564885496
ABCA5,B4GALT5,Rest,0.029411764705882353
ABCA5,BCL9L,Rest,0.05947955390334572
ABCA5,BCOR,Rest,0.10240963855421686
ABCA5,BHLHE40,Rest,0.08370044052863436
ABCA5,BRD7,Rest,0.06418918918918919
ABCA5,BRMS1,Rest,0.0684931506849315
ABCA5,BTAF1,Rest,0.07283763277693475
ABCA5,BZW2,Rest,0.09574468085106383
ABCA5,C16orf87,Rest,0.07142857142857142
ABCA5,C6orf120,Rest,0.07329842931937172
ABCA5,C8orf33,Rest,0.058011049723756904
ABCA5,CAB39,Rest,0.05472636815920398
ABCA5,CALM1,Rest,0.08928571428571429
ABCA5,CAND1,Rest,0.05423728813559322
ABCA5,CARM1,Rest,0.09876543209876543
ABCA5,CARNMT1,Rest,0.09090909090909091
ABCA5,CASP3,Rest,0.12359550561797752
ABCC1,TADA2B,Rest,0.12248062015503876
ABCC1,ELAVL1,Rest,0.10773899848254932
ABCC1,ARNT,Rest,0.10508083140877598
ABCC1,NSD1,Rest,0.1415929203539823
ABCC1,USP22,Rest,0.11462450592885376
ABCC1,AACS,Rest,0.08130081300813008
ABCC1,ABCA5,Rest,0.11267605633802817
ABCC1,ACACA,Rest,0.1276595744680851
ABCC1,ADNP,Rest,0.0945273631840796
ABCC1,ADNP2,Rest,0.09195402298850575
ABCC1,AHR,Rest,0.10939112487100103
ABCC1,AHSA1,Rest,0.15483870967741936
ABCC1,AK3,Rest,0.1180327868852459
ABCC1,AKAP17A,Rest,0.13194444444444445
ABCC1,ANKRD11,Rest,0.1065989847715736
ABCC1,ANKRD27,Rest,0.08205128205128205
ABCC1,ANTKMT,Rest,0.16296296296296298
ABCC1,APEX1,Rest,0.125
ABCC1,APMAP,Rest,0.09090909090909091
ABCC1,APOBEC3B,Rest,0.15789473684210525
ABCC1,ARHGAP15,Rest,0.09433962264150944
ABCC1,ARHGAP30,Rest,0.10408432147562582
ABCC1,ARID5A,Rest,0.13488372093023257
ABCC1,ARIH2,Rest,0.13333333333333333
ABCC1,ARL8B,Rest,0.10714285714285714
ABCC1,ARMC8,Rest,0.10747663551401869
ABCC1,ARRB1,Rest,0.09154929577464789
ABCC1,ASXL1,Rest,0.10540540540540541
ABCC1,ATAD5,Rest,0.11837121212121213
ABCC1,ATF7IP,Rest,0.15254237288135594
ABCC1,ATG12,Rest,0.2544529262086514
ABCC1,ATM,Rest,0.12213740458015267
ABCC1,B4GALT5,Rest,0.21323529411764705
ABCC1,BCL9L,Rest,0.06691449814126393
ABCC1,BCOR,Rest,0.08433734939759036
ABCC1,BHLHE40,Rest,0.13656387665198239
ABCC1,BRD7,Rest,0.12162162162162163
ABCC1,BRMS1,Rest,0.1050228310502283
ABCC1,BTAF1,Rest,0.11684370257966616
ABCC1,BZW2,Rest,0.13829787234042554
ABCC1,C16orf87,Rest,0.14285714285714285
ABCC1,C6orf120,Rest,0.1099476439790576
ABCC1,C8orf33,Rest,0.09944751381215469
ABCC1,CAB39,Rest,0.07960199004975124
ABCC1,CALM1,Rest,0.08928571428571429
ABCC1,CAND1,Rest,0.10508474576271186
ABCC1,CARM1,Rest,0.13991769547325103
ABCC1,CARNMT1,Rest,0.06493506493506493
ABCC1,CASP3,Rest,0.12359550561797752
ACACA,TADA2B,Rest,0.021705426356589147
ACACA,ELAVL1,Rest,0.027314112291350532
ACACA,ARNT,Rest,0.02424942263279446
ACACA,NSD1,Rest,0.01327433628318584
ACACA,USP22,Rest,0.028985507246376812
ACACA,AACS,Rest,0.032520325203252036
ACACA,ABCA5,Rest,0.007042253521126761
ACACA,ABCC1,Rest,0.025423728813559324
ACACA,ADNP,Rest,0.01990049751243781
ACACA,ADNP2,Rest,0.028735632183908046
ACACA,AHR,Rest,0.02476780185758514
ACACA,AHSA1,Rest,0.03225806451612903
ACACA,AK3,Rest,0.036065573770491806
ACACA,AKAP17A,Rest,0.034722222222222224
ACACA,ANKRD11,Rest,0.015228426395939087
ACACA,ANKRD27,Rest,0.005128205128205128
ACACA,ANTKMT,Rest,0.02962962962962963
ACACA,APEX1,Rest,0.03409090909090909
ACACA,APMAP,Rest,0.027972027972027972
ACACA,APOBEC3B,Rest,0.014354066985645933
ACACA,ARHGAP15,Rest,0.018867924528301886
ACACA,ARHGAP30,Rest,0.02766798418972332
ACACA,ARID5A,Rest,0.027906976744186046
ACACA,ARIH2,Rest,0.024242424242424242
ACACA,ARL8B,Rest,0.013392857142857142
ACACA,ARMC8,Rest,0.014018691588785047
ACACA,ARRB1,Rest,0.007042253521126761
ACACA,ASXL1,Rest,0.008108108108108109
ACACA,ATAD5,Rest,0.020833333333333332
ACACA,ATF7IP,Rest,0.0
ACACA,ATG12,Rest,0.010178117048346057
ACACA,ATM,Rest,0.022900763358778626
ACACA,B4GALT5,Rest,0.014705882352941176
ACACA,BCL9L,Rest,0.011152416356877323
ACACA,BCOR,Rest,0.012048192771084338
ACACA,BHLHE40,Rest,0.011013215859030838
ACACA,BRD7,Rest,0.030405405405405407
ACACA,BRMS1,Rest,0.0273972602739726
ACACA,BTAF1,Rest,0.013657056145675266
ACACA,BZW2,Rest,0.0425531914893617
ACACA,C16orf87,Rest,0.029411764705882353
ACACA,C6orf120,Rest,0.020942408376963352
ACACA,C8orf33,Rest,0.022099447513812154
ACACA,CAB39,Rest,0.014925373134328358
ACACA,CALM1,Rest,0.017857142857142856
ACACA,CAND1,Rest,0.025423728813559324
ACACA,CARM1,Rest,0.01646090534979424
ACACA,CARNMT1,Rest,0.01948051948051948
ACACA,CASP3,Rest,0.056179775280898875
ADNP,TADA2B,Rest,0.1124031007751938
ADNP,ELAVL1,Rest,0.09711684370257967
ADNP,ARNT,Rest,0.12702078521939955
ADNP,NSD1,Rest,0.11799410029498525
ADNP,USP22,Rest,0.10013175230566534
ADNP,AACS,Rest,0.11382113821138211
ADNP,ABCA5,Rest,0.11971830985915492
ADNP,ABCC1,Rest,0.08050847457627118
