index,eigenvalue,is_global,is_signal,lam_plus,sigma2
357,1.448647,False,False,1.490873,0.504244
358,1.446852,False,False,1.490873,0.504244
359,1.446228,False,False,1.490873,0.504244
360,1.443533,False,False,1.490873,0.504244
361,1.442568,False,False,1.490873,0.504244
362,1.441528,False,False,1.490873,0.504244
363,1.437964,False,False,1.490873,0.504244
364,1.437387,False,False,1.490873,0.504244
365,1.436536,False,False,1.490873,0.504244
366,1.435391,False,False,1.490873,0.504244
367,1.433614,False,False,1.490873,0.504244
368,1.430434,False,False,1.490873,0.504244
369,1.429771,False,False,1.490873,0.504244
370,1.428049,False,False,1.490873,0.504244
371,1.42633,False,False,1.490873,0.504244
372,1.425888,False,False,1.490873,0.504244
373,1.424144,False,False,1.490873,0.504244
374,1.423087,False,False,1.490873,0.504244
375,1.421731,False,False,1.490873,0.504244
376,1.41895,False,False,1.490873,0.504244
377,1.415645,False,False,1.490873,0.504244
378,1.414442,False,False,1.490873,0.504244
379,1.412448,False,False,1.490873,0.504244
380,1.410701,False,False,1.490873,0.504244
381,1.410245,False,False,1.490873,0.504244
382,1.407778,False,False,1.490873,0.504244
383,1.405937,False,False,1.490873,0.504244
384,1.404799,False,False,1.490873,0.504244
385,1.403474,False,False,1.490873,0.504244
386,1.401164,False,False,1.490873,0.504244
387,1.400581,False,False,1.490873,0.504244
388,1.399689,False,False,1.490873,0.504244
389,1.397438,False,False,1.490873,0.504244
390,1.395825,False,False,1.490873,0.504244
391,1.393684,False,False,1.490873,0.504244
392,1.391377,False,False,1.490873,0.504244
393,1.388828,False,False,1.490873,0.504244
394,1.387373,False,False,1.490873,0.504244
395,1.385878,False,False,1.490873,0.504244
396,1.385775,False,False,1.490873,0.504244
397,1.383827,False,False,1.490873,0.504244
398,1.382371,False,False,1.490873,0.504244
399,1.380633,False,False,1.490873,0.504244
400,1.379566,False,False,1.490873,0.504244
401,1.37775,False,False,1.490873,0.504244
402,1.377095,False,False,1.490873,0.504244
403,1.376225,False,False,1.490873,0.504244
404,1.373336,False,False,1.490873,0.504244
405,1.371354,False,False,1.490873,0.504244
406,1.370918,False,False,1.490873,0.504244
407,1.369529,False,False,1.490873,0.504244
408,1.367738,False,False,1.490873,0.504244
409,1.366583,False,False,1.490873,0.504244
410,1.363902,False,False,1.490873,0.504244
411,1.363681,False,False,1.490873,0.504244
412,1.362562,False,False,1.490873,0.504244
413,1.360058,False,False,1.490873,0.504244
414,1.359329,False,False,1.490873,0.504244
415,1.358466,False,False,1.490873,0.504244
416,1.356414,False,False,1.490873,0.504244
417,1.354714,False,False,1.490873,0.504244
418,1.353044,False,False,1.490873,0.504244
419,1.352905,False,False,1.490873,0.504244
420,1.350794,False,False,1.490873,0.504244
421,1.349207,False,False,1.490873,0.504244
422,1.345889,False,False,1.490873,0.504244
423,1.344739,False,False,1.490873,0.504244
424,1.34292,False,False,1.490873,0.504244
425,1.341742,False,False,1.490873,0.504244
426,1.341122,False,False,1.490873,0.504244
427,1.339855,False,False,1.490873,0.504244
428,1.337023,False,False,1.490873,0.504244
429,1.333921,False,False,1.490873,0.504244
430,1.333784,False,False,1.490873,0.504244
431,1.332882,False,False,1.490873,0.504244
432,1.330906,False,False,1.490873,0.504244
433,1.330317,False,False,1.490873,0.504244
434,1.328173,False,False,1.490873,0.504244
435,1.327325,False,False,1.490873,0.504244
436,1.32539,False,False,1.490873,0.504244
437,1.324414,False,False,1.490873,0.504244
438,1.322318,False,False,1.490873,0.504244
439,1.320746,False,False,1.490873,0.504244
440,1.32023,False,False,1.490873,0.504244
441,1.318515,False,False,1.490873,0.504244
442,1.316266,False,False,1.490873,0.504244
443,1.315549,False,False,1.490873,0.504244
444,1.312875,False,False,1.490873,0.504244
445,1.310676,False,False,1.490873,0.504244
446,1.30998,False,False,1.490873,0.504244
447,1.309375,False,False,1.490873,0.504244
448,1.3064,False,False,1.490873,0.504244
449,1.306232,False,False,1.490873,0.504244
450,1.304777,False,False,1.490873,0.504244
451,1.304317,False,False,1.490873,0.504244
452,1.303662,False,False,1.490873,0.504244
453,1.301099,False,False,1.490873,0.504244
454,1.299387,False,False,1.490873,0.504244
455,1.297685,False,False,1.490873,0.504244
456,1.296584,False,False,1.490873,0.504244
457,1.294078,False,False,1.490873,0.504244
458,1.292943,False,False,1.490873,0.504244
459,1.292416,False,False,1.490873,0.504244
460,1.291927,False,False,1.490873,0.504244
461,1.289909,False,False,1.490873,0.504244
462,1.28735,False,False,1.490873,0.504244
463,1.286676,False,False,1.490873,0.504244
464,1.285771,False,False,1.490873,0.504244
