gene,raw_score,kd_gated_score,eb_score,raw_rank,kd_gated_rank,eb_rank,dropped_by_kd_gate,rank_shift_raw_to_eb
GZF1,582,,,578,,,True,
SAMD1,582,582.0,1.1509,578,499,209,False,369.0
MRPL14,580,,,580,,,True,
DIS3L2,580,580.0,0.499,580,500,545,False,35.0
UQCRB,578,578.0,1.116,582,501,223,False,359.0
C1orf115,577,,,583,,,True,
RPRD1B,577,577.0,0.5995,583,502,476,False,107.0
MVB12B,573,573.0,0.7554,585,503,386,False,199.0
UBA5,572,572.0,0.5907,586,504,482,False,104.0
FANCB,572,572.0,0.5612,586,504,495,False,91.0
CUL4B,571,571.0,0.2098,588,506,744,False,-156.0
ELP5,570,570.0,0.9754,589,507,270,False,319.0
PPIL1,570,570.0,0.9012,589,507,304,False,285.0
CHMP1A,569,569.0,-0.0689,591,509,983,False,-392.0
IRF4,566,566.0,0.6929,592,510,425,False,167.0
MLST8,563,563.0,0.8164,593,511,344,False,249.0
NAA20,562,562.0,0.985,594,512,264,False,330.0
TSEN2,562,,,594,,,True,
NUDCD3,562,,,594,,,True,
CBX5,561,561.0,0.5566,597,513,499,False,98.0
MRPL33,561,,,597,,,True,
PAGR1,560,560.0,0.8875,599,514,312,False,287.0
SUPT3H,557,557.0,-1.4606,600,515,2803,False,-2203.0
IST1,553,553.0,0.9738,601,516,273,False,328.0
RIDA,553,553.0,0.3507,601,516,641,False,-40.0
EMC6,551,551.0,-0.1669,603,518,1060,False,-457.0
ANKRD49,550,550.0,0.3494,604,519,642,False,-38.0
DOP1A,549,549.0,0.4856,605,520,556,False,49.0
CSK,547,547.0,0.6218,606,521,466,False,140.0
HACD4,546,546.0,-0.774,607,522,1689,False,-1082.0
COPS8,545,545.0,0.7943,608,523,364,False,244.0
SRP14,545,,,608,,,True,
COA7,543,543.0,0.49,610,524,550,False,60.0
ZBTB7A,542,542.0,0.5249,611,525,526,False,85.0
TMEM45B,541,,,612,,,True,
EIF4A1,538,538.0,0.8163,613,526,345,False,268.0
FIGNL1,538,538.0,0.5041,613,526,538,False,75.0
VPS8,536,536.0,-1.0608,615,528,2059,False,-1444.0
COX5B,536,536.0,-0.8749,615,528,1811,False,-1196.0
GADD45GIP1,536,536.0,-0.0477,615,528,944,False,-329.0
INPP5D,535,535.0,-0.7049,618,531,1604,False,-986.0
LSM12,534,534.0,0.9103,619,532,298,False,321.0
COA3,533,533.0,0.7376,620,533,403,False,217.0
ATP5PF,531,,,621,,,True,
DHPS,531,531.0,1.0503,621,534,236,False,385.0
CBLL1,531,531.0,0.9271,621,534,292,False,329.0
GCSH,530,,,624,,,True,
SMAD3,529,470.0,0.6259,625,581,462,False,163.0
ADAT2,527,527.0,0.4826,626,536,559,False,67.0
TBX22,527,,,626,,,True,
UQCRC1,527,527.0,0.8382,626,536,331,False,295.0
MYO9A,526,526.0,1.1209,629,538,220,False,409.0
SOCS4,524,524.0,0.4366,630,539,586,False,44.0
MIA3,522,522.0,0.7218,631,540,407,False,224.0
NDUFA9,520,520.0,-0.5646,632,541,1455,False,-823.0
MLYCD,519,519.0,0.0625,633,542,856,False,-223.0
PTP4A1,517,,,634,,,True,
RNF40,516,,,635,,,True,
NAA25,515,409.0,0.5758,636,654,486,False,150.0
XRCC2,514,514.0,1.0919,637,543,229,False,408.0
FGFR1OP2,512,512.0,0.387,638,544,614,False,24.0
IFI27L1,510,510.0,0.0986,639,545,826,False,-187.0
N6AMT1,510,510.0,0.8178,639,545,341,False,298.0
AEBP2,509,509.0,-0.0694,641,547,984,False,-343.0
